,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1,1,0,54.64,137.51136471384933,"[ 0.18151437  0.01788975  0.05849212  0.18687321  0.09731468 -0.04851292
  0.07340698 -0.02708764 -0.04381727  0.02774246]",2332.864,0.30652631578947365,0.0,0.0
1,10,1,1,1,1,0,54.64,136.86077421178317,"[ 0.00060768  0.08637792  0.06083878 -0.0006696  -0.0046054   0.04802797
  0.07912534 -0.05177718 -0.02163746 -0.06174863]",2332.864,0.30652631578947365,0.0,0.0
2,10,2,1,1,1,0,54.64,135.96664885734486,"[-0.15877962  0.03902964  0.05316281 -0.05619527  0.20737791 -0.12296103
  0.00074367 -0.00217029  0.1254695   0.08696454]",2332.864,0.30652631578947365,0.0,0.0
3,10,3,1,1,1,0,54.64,137.6033397516973,"[-0.00565835  0.04753005 -0.07384375 -0.1752249  -0.04517287 -0.00702221
  0.09623787  0.04760943 -0.03528119 -0.07253078]",2332.864,0.30652631578947365,0.0,0.0
4,10,4,1,1,1,0,54.64,136.44124258055925,"[-0.07089511 -0.07111406 -0.11741261  0.13737205  0.01439106 -0.00860044
 -0.10499753  0.05666997 -0.09665143  0.0083479 ]",2332.864,0.30652631578947365,0.0,0.0
5,10,5,1,1,1,0,54.64,136.00410044305735,"[-0.07274463  0.01146013 -0.01890972 -0.07345308  0.05792319  0.01899719
 -0.02264953  0.02869419 -0.05886528 -0.02728285]",2332.864,0.30652631578947365,0.0,0.0
6,10,6,1,1,1,0,54.64,136.42617395372812,"[-0.06359784 -0.0469156  -0.05667435 -0.17416665 -0.02211395 -0.12801704
 -0.12744215 -0.00747378 -0.08764078  0.04255273]",2332.864,0.30652631578947365,0.0,0.0
7,10,7,1,1,1,0,54.64,137.9339584806121,"[ 0.06885906  0.04017969  0.09808704 -0.09696484  0.02334151 -0.03387396
 -0.08548111 -0.05732898 -0.02607618 -0.0157016 ]",2332.864,0.30652631578947365,0.0,0.0
8,10,8,1,1,1,0,54.64,137.53793907999005,"[-0.078264    0.03989671 -0.00497678 -0.17127508  0.09649119  0.12577507
  0.06446778 -0.01090247 -0.0972131   0.0607845 ]",2332.864,0.30652631578947365,0.0,0.0
9,10,9,1,1,1,0,54.64,137.7890835541861,"[-0.04626089  0.08436038  0.01179909  0.05794038  0.0430704   0.0692275
 -0.03953594  0.13476734  0.01330168  0.0234651 ]",2332.864,0.30652631578947365,0.0,0.0
10,10,10,1,1,1,0,54.64,138.69913727451404,"[ 0.0958085  -0.09961164 -0.12972346  0.04264957 -0.10017219  0.17528275
 -0.06972833 -0.03328827  0.14166303  0.0729923 ]",2332.864,0.30652631578947365,0.0,0.0
11,10,11,1,1,1,0,54.64,137.24109318869031,"[ 0.14184177  0.11352021 -0.09864335  0.09813561 -0.00128174  0.071192
 -0.00350291 -0.02686856  0.12380615  0.09977028]",2332.864,0.30652631578947365,0.0,0.0
12,10,12,1,1,1,0,54.64,136.37756862515553,"[ 0.00891997 -0.02495101  0.01334353  0.05023715 -0.05838468 -0.02144232
 -0.02052936  0.10839188  0.04051454 -0.01454221]",2332.864,0.30652631578947365,0.0,0.0
13,10,13,1,1,1,0,54.64,138.18135336706808,"[-0.08593545  0.03785685 -0.04529583  0.00594988 -0.01263029  0.00176359
  0.05790549 -0.01763295  0.02317835 -0.03734007]",2332.864,0.30652631578947365,0.0,0.0
14,10,14,1,1,1,0,54.64,137.00022978171648,"[-0.12344097  0.0303958  -0.00028651  0.01628608  0.15927273  0.07939257
 -0.04210254  0.07289883 -0.06364172 -0.01658675]",2332.864,0.30652631578947365,0.0,0.0
15,10,15,1,1,1,0,54.64,137.2552798269732,"[-0.0329243   0.1597596  -0.08450281 -0.06932342  0.01754167 -0.07391433
  0.06116136 -0.11341088 -0.08014198 -0.08307341]",2332.864,0.30652631578947365,0.0,0.0
