,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1e-05,1,0,98.37,165.64953004719484,"[-0.03549192  0.14127085 -0.10950706 -0.04728475  0.04635043 -0.10484886
  0.02653633 -0.2401937  -0.07122305 -0.2157776 ]",11502.423,0.3969473684210526,0.0,0.0
1,10,1,1,1e-05,1,0,98.37,165.98583025809594,"[-0.01590998  0.04903887  0.18695104 -0.13282222 -0.05885097  0.09849301
  0.09332192  0.09784968 -0.03571448 -0.06735477]",11502.423,0.3969473684210526,0.0,0.0
2,10,2,1,1e-05,1,0,98.37,165.50497862244788,"[-0.07687066  0.1144658   0.04328087  0.10116751  0.12310392 -0.15550177
 -0.08906867  0.04812432 -0.11299905 -0.01339773]",11502.423,0.3969473684210526,0.0,0.0
3,10,3,1,1e-05,1,0,98.37,165.9487758953266,"[ 0.06113469  0.08838679  0.15403672 -0.01524565  0.15582743 -0.05392549
 -0.09079766 -0.02203771 -0.01293468 -0.11131336]",11502.423,0.3969473684210526,0.0,0.0
4,10,4,1,1e-05,1,0,98.37,165.86063888720918,"[-0.01872706 -0.07320349  0.0315386  -0.14770067 -0.27547202  0.04592669
  0.00603029 -0.00735236  0.30788735  0.0379901 ]",11502.423,0.3969473684210526,0.0,0.0
5,10,5,1,1e-05,1,0,98.37,165.18250515571097,"[ 0.01401438  0.26528713 -0.01637807 -0.03967276 -0.07540399 -0.14161558
 -0.14604416  0.0092522  -0.09487668 -0.01964948]",11502.423,0.3969473684210526,0.0,0.0
6,10,6,1,1e-05,1,0,98.37,165.02898541391312,"[ 0.04734957 -0.17602515  0.07663734  0.0574889  -0.056855   -0.0111438
  0.00446225  0.20615849 -0.11217561 -0.13340805]",11502.423,0.3969473684210526,0.0,0.0
7,10,7,1,1e-05,1,0,98.37,164.78921348770038,"[-0.12810981  0.15557231 -0.07690407  0.25659025  0.19943804  0.00695692
 -0.1548372  -0.13491201 -0.064427    0.06362172]",11502.423,0.3969473684210526,0.0,0.0
8,10,8,1,1e-05,1,0,98.37,166.45697842569973,"[ 0.07173377  0.06548633  0.17127466 -0.18303871  0.13468921 -0.14576441
 -0.1494241   0.05118365  0.2732563  -0.12329203]",11502.423,0.3969473684210526,0.0,0.0
9,10,9,1,1e-05,1,0,98.37,165.75742706855965,"[-0.18384963  0.11590125 -0.02562892 -0.16389242 -0.06111108 -0.07988896
 -0.04490608 -0.04458773 -0.16949728  0.01913077]",11502.423,0.3969473684210526,0.0,0.0
10,10,10,1,1e-05,1,0,98.37,166.4117240649444,"[-0.08456225 -0.07632186  0.02427865 -0.15176953 -0.14705569 -0.11123952
 -0.02916541  0.0946908   0.29674545 -0.18408455]",11502.423,0.3969473684210526,0.0,0.0
11,10,11,1,1e-05,1,0,98.37,164.88257148235326,"[ 0.14753902  0.01588959 -0.1496862  -0.1656604  -0.03422573  0.09281112
  0.08576734  0.12973644  0.08027048  0.21858676]",11502.423,0.3969473684210526,0.0,0.0
12,10,12,1,1e-05,1,0,98.37,165.3934035057677,"[ 0.19909379  0.001829   -0.0944438  -0.01464337 -0.01183554 -0.09287615
 -0.0524395  -0.14227813 -0.00060258  0.14087325]",11502.423,0.3969473684210526,0.0,0.0
13,10,13,1,1e-05,1,0,98.37,165.76078980970107,"[ 0.05526301  0.15491907  0.02030005  0.16797231  0.04205887 -0.13258103
 -0.16216539 -0.10987099  0.2177541  -0.01384245]",11502.423,0.3969473684210526,0.0,0.0
14,10,14,1,1e-05,1,0,98.37,165.47165198708663,"[ 0.20171604  0.18028614 -0.09889121 -0.16266021  0.10004319  0.01753369
  0.04851802  0.01727788 -0.00117438 -0.1514661 ]",11502.423,0.3969473684210526,0.0,0.0
15,10,15,1,1e-05,1,0,98.37,166.0984153177981,"[-0.08379917  0.00108132 -0.0915023  -0.07147311 -0.02114829  0.09170759
 -0.08236529 -0.23302293  0.1614047   0.11292136]",11502.423,0.3969473684210526,0.0,0.0
16,10,16,1,1e-05,1,0,98.37,165.54268143504976,"[-0.15054381 -0.05125345 -0.15482666 -0.01563396 -0.04512987 -0.11398706
 -0.02202178 -0.2576129   0.06655665 -0.00276773]",11502.423,0.3969473684210526,0.0,0.0
17,10,17,1,1e-05,1,0,98.37,165.0787772419613,"[-0.13853161 -0.13816717 -0.19544207 -0.01556958 -0.10342707 -0.09262917
  0.07432114 -0.13640866  0.0089544  -0.06531552]",11502.423,0.3969473684210526,0.0,0.0
18,10,18,1,1e-05,1,0,98.37,165.58265386750892,"[-0.00795945 -0.05716929 -0.1143291  -0.36809644 -0.05223175 -0.1873731
  0.11793269  0.00439378 -0.19247015 -0.00499797]",11502.423,0.3969473684210526,0.0,0.0
19,10,19,1,1e-05,1,0,98.37,166.04604640420558,"[ 0.25032452 -0.05199687 -0.17924583 -0.0723177   0.20617017 -0.24483073
  0.0669217   0.01364145  0.08697341  0.11289145]",11502.423,0.3969473684210526,0.0,0.0
20,10,20,1,1e-05,1,0,98.37,166.07696138145315,"[-0.17421207 -0.24812232 -0.05321509 -0.07204236  0.17963678 -0.03125544
  0.06156331  0.1942125  -0.06978853  0.09662713]",11502.423,0.3969473684210526,0.0,0.0
21,10,21,1,1e-05,1,0,98.37,164.29062165062786,"[ 0.18899734 -0.11670767 -0.11433537 -0.05396522  0.08055157  0.0289693
 -0.06627394 -0.10359664  0.16101919 -0.15361658]",11502.423,0.3969473684210526,0.0,0.0
22,10,22,1,1e-05,1,0,98.37,164.75257976820936,"[ 0.13602723 -0.01458904 -0.06621355  0.10356026  0.02351497  0.01509256
  0.09482154  0.14182538  0.11629557  0.18325828]",11502.423,0.3969473684210526,0.0,0.0
23,10,23,1,1e-05,1,0,98.37,165.859058568001,"[ 0.09399366 -0.01248492 -0.00404081 -0.01969039 -0.0492273  -0.12722424
 -0.17782506 -0.28166628  0.0625673  -0.01456535]",11502.423,0.3969473684210526,0.0,0.0
24,10,24,1,1e-05,1,0,98.37,165.35623514364963,"[ 0.14181992 -0.04301605 -0.05582364 -0.0557496   0.20129117  0.01025657
 -0.22885053  0.12194328  0.0345637  -0.02566259]",11502.423,0.3969473684210526,0.0,0.0
25,10,25,1,1e-05,1,0,98.37,166.42491994768199,"[ 0.20873699 -0.01540595  0.08839258  0.02908985  0.06247284 -0.17987376
  0.0792098  -0.07787839 -0.06886882 -0.07941792]",11502.423,0.3969473684210526,0.0,0.0
26,10,26,1,1e-05,1,0,98.37,165.5065844038299,"[ 0.08255042  0.14133322  0.18345907  0.14016972 -0.16731629 -0.00421271
 -0.27958345 -0.04744404  0.2089223   0.03813531]",11502.423,0.3969473684210526,0.0,0.0
