,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1,1,0,51.75,134.9371209043917,"[ 0.01414942 -0.00585747  0.03372459  0.02634026  0.02602196 -0.02218713
  0.00928873 -0.05741005 -0.06436907  0.08310174]",48848.227,0.3503157894736842,0.0,0.0
1,10,1,1,1,1,0,51.75,133.9868254880831,"[-0.01544497  0.00548842  0.00534534 -0.02918781 -0.00198311  0.0623067
  0.00425654 -0.00497005 -0.03000439 -0.00414626]",48848.227,0.3503157894736842,0.0,0.0
2,10,2,1,1,1,0,51.75,135.1907428027468,"[-0.04278962  0.05451086  0.02056551  0.05231591  0.01533827  0.03127789
  0.09171298  0.05966363 -0.06381087 -0.01741304]",48848.227,0.3503157894736842,0.0,0.0
3,10,3,1,1,1,0,51.75,135.01321581247075,"[-0.01730574  0.04706558 -0.06336241 -0.13801858  0.03716969 -0.0350721
  0.04323067 -0.05736292 -0.00802946 -0.00990143]",48848.227,0.3503157894736842,0.0,0.0
4,10,4,1,1,1,0,51.75,134.34705255051867,"[-0.01600323  0.06721194  0.04362947  0.00065791 -0.01649754  0.03317843
 -0.02604825  0.01563569 -0.1016741  -0.00355771]",48848.227,0.3503157894736842,0.0,0.0
5,10,5,1,1,1,0,51.75,134.65159789312116,"[ 0.00447067 -0.06663684  0.05606563 -0.00108841  0.02755754  0.02320098
  0.02144517  0.0669757  -0.02395668  0.0630449 ]",48848.227,0.3503157894736842,0.0,0.0
6,10,6,1,1,1,0,51.75,134.3121991515175,"[-0.00687908 -0.02161367  0.0059279   0.01765351 -0.01286878  0.01560646
 -0.09643906 -0.01502465 -0.10880598  0.01401476]",48848.227,0.3503157894736842,0.0,0.0
7,10,7,1,1,1,0,51.75,134.5210211860272,"[ 0.0355136  -0.0108067   0.02774074 -0.03419178 -0.03682374 -0.05954545
  0.04993407 -0.05396137 -0.04113483 -0.01609371]",48848.227,0.3503157894736842,0.0,0.0
8,10,8,1,1,1,0,51.75,134.06975513534266,"[ 0.02765051 -0.00224799 -0.07141212  0.07446204 -0.01250763  0.05229086
 -0.00409127  0.02779187 -0.02568062  0.09785336]",48848.227,0.3503157894736842,0.0,0.0
9,10,9,1,1,1,0,51.75,135.00711808769174,"[ 0.03517105 -0.04529865 -0.05056004 -0.00624352 -0.04513673  0.05274808
 -0.02067279 -0.01292816 -0.00807901 -0.01544543]",48848.227,0.3503157894736842,0.0,0.0
10,10,10,1,1,1,0,51.75,134.3606084464585,"[-0.00096213 -0.04859496  0.04375393 -0.00183969 -0.13697125  0.0533203
  0.02498846 -0.10343432 -0.01648963  0.06139352]",48848.227,0.3503157894736842,0.0,0.0
11,10,11,1,1,1,0,51.75,134.908245537083,"[ 0.03952227  0.00156877  0.03369818  0.00125299 -0.0205868  -0.04994057
  0.0215863  -0.03710821  0.00175109 -0.00970024]",48848.227,0.3503157894736842,0.0,0.0
12,10,12,1,1,1,0,51.75,134.7796762809432,"[-0.0255839  -0.02228525  0.01684248  0.05383667 -0.04891299 -0.01660571
 -0.00619724  0.02017824 -0.06643958 -0.03698017]",48848.227,0.3503157894736842,0.0,0.0
13,10,13,1,1,1,0,51.75,133.9989405889835,"[-0.09957734  0.22907096  0.04544345  0.14073515 -0.05169317 -0.01209502
  0.03469708 -0.03836173 -0.07339785 -0.00355476]",48848.227,0.3503157894736842,0.0,0.0
14,10,14,1,1,1,0,51.75,134.29653034325273,"[-0.00173082  0.07241962 -0.00989141  0.02876181 -0.01881335 -0.00871552
  0.03555755  0.14984208 -0.27788043  0.05589386]",48848.227,0.3503157894736842,0.0,0.0
15,10,15,1,1,1,0,51.75,133.7316425017927,"[-0.0401384   0.00986182  0.03158481 -0.03710035  0.06159681  0.01857507
 -0.00265001  0.03170376 -0.02076411  0.02822692]",48848.227,0.3503157894736842,0.0,0.0
16,10,16,1,1,1,0,51.75,134.57876403503045,"[ 0.03861303  0.01658371 -0.03943934  0.05441543 -0.07175285 -0.05410507
  0.02041828  0.01777655 -0.03050842 -0.02760959]",48848.227,0.3503157894736842,0.0,0.0
17,10,17,1,1,1,0,51.75,134.85705890732498,"[-0.0058684   0.05897384 -0.01097251  0.03359667 -0.00573548  0.01390095
  0.02652168 -0.031195    0.01741351  0.02146991]",48848.227,0.3503157894736842,0.0,0.0
18,10,18,1,1,1,0,51.75,134.51726127340197,"[-0.01144432  0.0002585  -0.05980051  0.01682078  0.09948419  0.06652202
 -0.01926496 -0.03045879 -0.04571949 -0.01151364]",48848.227,0.3503157894736842,0.0,0.0
19,10,19,1,1,1,0,51.75,133.70147672563874,"[ 0.01274925 -0.01346226 -0.03601214 -0.0381172   0.0190019   0.06810915
  0.11945488  0.15401907 -0.04748075  0.05093265]",48848.227,0.3503157894736842,0.0,0.0
20,10,20,1,1,1,0,51.75,134.9392306117974,"[-0.07554761  0.03947499 -0.05995283 -0.0404129   0.047222    0.02638508
 -0.00854931 -0.07774267 -0.08175932 -0.13902594]",48848.227,0.3503157894736842,0.0,0.0
21,10,21,1,1,1,0,51.75,134.6584354752583,"[-0.01591064  0.00700747  0.0475499   0.00807188  0.00958307 -0.00969829
  0.03825441  0.03295231 -0.06965461  0.14508836]",48848.227,0.3503157894736842,0.0,0.0
