,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,1,0,1,1,1,0,18.98,8.108082455377941,"[ 0.01884166 -0.01260271  0.03943111  0.04802446  0.07213213  0.00706442
  0.07430321  0.01881803  0.01903203 -0.00814084]",0.5415552,0.30784210526315786,0.0,0.0
1,1,1,1,1,1,0,18.98,7.841874078691468,"[-0.07603988  0.12709936  0.16254598  0.04391031 -0.06293896 -0.02435403
  0.09499462 -0.02597399  0.06725913 -0.03665564]",0.5415552,0.30784210526315786,0.0,0.0
2,1,2,1,1,1,0,18.98,8.137204350627286,"[-0.12678733  0.07893042  0.06853298 -0.13973124  0.19558442 -0.08057478
 -0.06423344  0.00598989  0.14748134 -0.03264488]",0.5415552,0.30784210526315786,0.0,0.0
3,1,3,1,1,1,0,18.98,8.090416565426716,"[-0.0069681  -0.06079664 -0.01830822 -0.16161641 -0.01209678  0.03531545
  0.12083125  0.21408519  0.13997431 -0.05281617]",0.5415552,0.30784210526315786,0.0,0.0
4,1,4,1,1,1,0,18.98,8.03631951929724,"[-0.04239726 -0.07743911  0.01001596  0.12198189  0.04208168  0.03569153
 -0.03276968 -0.0435377  -0.01248018 -0.0948279 ]",0.5415552,0.30784210526315786,0.0,0.0
5,1,5,1,1,1,0,18.98,8.119914940494183,"[-0.08748008 -0.18405089  0.08546032 -0.05947424  0.11087286  0.04456482
 -0.0645691   0.14075021  0.00580177 -0.1376928 ]",0.5415552,0.30784210526315786,0.0,0.0
6,1,6,1,1,1,0,18.98,7.836230030388411,"[ 0.00519492 -0.10179913 -0.04562407 -0.15222743 -0.03164361  0.04567995
 -0.00562559  0.13567246 -0.06424107 -0.03840223]",0.5415552,0.30784210526315786,0.0,0.0
7,1,7,1,1,1,0,18.98,7.981777834723187,"[-0.02771674 -0.1222948   0.10409253 -0.19379917  0.02884907  0.01055868
  0.04433154 -0.04470887  0.01013687 -0.09296638]",0.5415552,0.30784210526315786,0.0,0.0
8,1,8,1,1,1,0,18.98,7.956322942296861,"[-0.06290527  0.00296357  0.04453221 -0.12641051 -0.03008792  0.03859324
  0.01051938  0.08507441  0.04759797 -0.01350174]",0.5415552,0.30784210526315786,0.0,0.0
9,1,9,1,1,1,0,18.98,7.849627379897954,"[-0.04713231 -0.03666942  0.03265929  0.00036228  0.09595739  0.08647221
  0.02636401  0.13806373  0.04716884  0.00317537]",0.5415552,0.30784210526315786,0.0,0.0
10,1,10,1,1,1,0,18.98,8.440525366523104,"[-0.08289172 -0.06921583  0.06522314 -0.00615013 -0.08010787  0.12613487
  0.0571574   0.10174935  0.16667283  0.02737702]",0.5415552,0.30784210526315786,0.0,0.0
11,1,11,1,1,1,0,18.98,8.00543868878303,"[ 0.02881359  0.03287263 -0.02871735  0.07323298  0.10110467  0.1469249
  0.03538796  0.10220657  0.11807802  0.01341856]",0.5415552,0.30784210526315786,0.0,0.0
12,1,12,1,1,1,0,18.98,7.938687676389844,"[-0.01373489 -0.0245681   0.01430317 -0.07534043  0.01210613  0.06001496
  0.01960145  0.15125716 -0.00244041 -0.10449088]",0.5415552,0.30784210526315786,0.0,0.0
