
The following have been reloaded with a version change:
  1) linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-h6soa57 => linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-w7ngxar
  2) linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-cqof5qs => linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-c5gajon

WARNING:bayesflow:When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use
with torch.enable_grad():
in contexts where you need gradients (e.g. custom training loops).
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 7 Model: 7 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
Moving prior to device: cpu
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|        time_embedding.0.scale        |     1      |
|       time_embedding.1.weight        |     64     |
|        time_embedding.1.bias         |     8      |
|   blocks.res_blocks.0.dense.weight   |    7168    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    7168    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 280403
gaussian_flat7_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.0173, Valid Loss: 16.7992
Epoch 2/1000, Loss: 14.6337, Valid Loss: 13.9633
Epoch 3/1000, Loss: 15.0436, Valid Loss: 13.3214
Epoch 4/1000, Loss: 15.4582, Valid Loss: 18.1582
Epoch 5/1000, Loss: 14.9578, Valid Loss: 15.7137
Epoch 6/1000, Loss: 15.4791, Valid Loss: 12.5874
Epoch 7/1000, Loss: 15.8245, Valid Loss: 16.3170
Epoch 8/1000, Loss: 14.3884, Valid Loss: 17.2898
Epoch 9/1000, Loss: 15.1714, Valid Loss: 14.0946
Epoch 10/1000, Loss: 15.0634, Valid Loss: 12.7029
Epoch 11/1000, Loss: 14.7810, Valid Loss: 14.0085
Epoch 12/1000, Loss: 15.1273, Valid Loss: 16.4940
Epoch 13/1000, Loss: 15.4150, Valid Loss: 15.2681
Epoch 14/1000, Loss: 14.6595, Valid Loss: 16.1496
Epoch 15/1000, Loss: 14.8176, Valid Loss: 14.5368
Epoch 16/1000, Loss: 15.2012, Valid Loss: 13.2652
Epoch 17/1000, Loss: 14.6060, Valid Loss: 15.0173
Epoch 18/1000, Loss: 16.4563, Valid Loss: 14.2254
Epoch 19/1000, Loss: 15.1335, Valid Loss: 18.1949
Epoch 20/1000, Loss: 15.6068, Valid Loss: 13.0468
Epoch 21/1000, Loss: 14.3614, Valid Loss: 17.4449
Epoch 22/1000, Loss: 14.2504, Valid Loss: 13.7824
Epoch 23/1000, Loss: 15.0609, Valid Loss: 12.4387
Epoch 24/1000, Loss: 14.6587, Valid Loss: 14.5322
Epoch 25/1000, Loss: 14.5108, Valid Loss: 15.3819
Epoch 26/1000, Loss: 14.7708, Valid Loss: 13.3123
Epoch 27/1000, Loss: 15.6822, Valid Loss: 14.4961
Epoch 28/1000, Loss: 14.4169, Valid Loss: 12.4385
Epoch 29/1000, Loss: 14.9673, Valid Loss: 15.0920
Epoch 30/1000, Loss: 15.0349, Valid Loss: 13.2201
Epoch 31/1000, Loss: 14.5387, Valid Loss: 14.9257
Epoch 32/1000, Loss: 15.1375, Valid Loss: 14.0188
Epoch 33/1000, Loss: 14.9296, Valid Loss: 13.5595
Epoch 34/1000, Loss: 15.2122, Valid Loss: 16.7029
Epoch 35/1000, Loss: 13.9704, Valid Loss: 14.8496
Epoch 36/1000, Loss: 14.9871, Valid Loss: 12.9974
Epoch 37/1000, Loss: 14.3127, Valid Loss: 12.5580
Epoch 38/1000, Loss: 15.7450, Valid Loss: 13.9316
Epoch 39/1000, Loss: 14.3875, Valid Loss: 12.2280
Epoch 40/1000, Loss: 15.2239, Valid Loss: 15.1904
Epoch 41/1000, Loss: 15.4426, Valid Loss: 12.9528
Epoch 42/1000, Loss: 14.3520, Valid Loss: 13.1884
Epoch 43/1000, Loss: 17.3579, Valid Loss: 16.1389
Epoch 44/1000, Loss: 15.4935, Valid Loss: 12.3979
Epoch 45/1000, Loss: 14.7664, Valid Loss: 12.9912
Epoch 46/1000, Loss: 15.8473, Valid Loss: 15.1120
Epoch 47/1000, Loss: 15.9002, Valid Loss: 13.2024
Epoch 48/1000, Loss: 14.2192, Valid Loss: 13.7788
Epoch 49/1000, Loss: 14.8453, Valid Loss: 16.4087
Epoch 50/1000, Loss: 15.1863, Valid Loss: 14.4157
Epoch 51/1000, Loss: 14.4832, Valid Loss: 27.1414
Epoch 52/1000, Loss: 14.8947, Valid Loss: 16.0462
Epoch 53/1000, Loss: 15.4205, Valid Loss: 13.2018
Epoch 54/1000, Loss: 15.0213, Valid Loss: 16.1081
Epoch 55/1000, Loss: 15.2690, Valid Loss: 14.8783
Epoch 56/1000, Loss: 14.2295, Valid Loss: 15.9571
Epoch 57/1000, Loss: 14.3942, Valid Loss: 13.4007
Epoch 58/1000, Loss: 15.5816, Valid Loss: 21.5906
Epoch 59/1000, Loss: 15.7848, Valid Loss: 14.7836
Epoch 60/1000, Loss: 16.1737, Valid Loss: 15.0484
Epoch 61/1000, Loss: 14.0567, Valid Loss: 13.9694
Epoch 62/1000, Loss: 15.0387, Valid Loss: 13.6946
Epoch 63/1000, Loss: 14.1241, Valid Loss: 16.2339
Epoch 64/1000, Loss: 15.5357, Valid Loss: 18.9139
Epoch 65/1000, Loss: 15.2266, Valid Loss: 17.6406
Epoch 66/1000, Loss: 15.6934, Valid Loss: 12.5704
Epoch 67/1000, Loss: 14.5604, Valid Loss: 18.8516
Epoch 68/1000, Loss: 15.0567, Valid Loss: 13.0587
Epoch 69/1000, Loss: 15.4312, Valid Loss: 14.2798
Epoch 70/1000, Loss: 15.1421, Valid Loss: 13.0301
Epoch 71/1000, Loss: 15.2028, Valid Loss: 14.6394
Epoch 72/1000, Loss: 15.0006, Valid Loss: 14.2496
Epoch 73/1000, Loss: 14.5474, Valid Loss: 15.5866
Epoch 74/1000, Loss: 14.3987, Valid Loss: 14.1896
Epoch 75/1000, Loss: 15.1982, Valid Loss: 15.5808
Epoch 76/1000, Loss: 15.3652, Valid Loss: 15.4165
Epoch 77/1000, Loss: 14.8107, Valid Loss: 18.3075
Epoch 78/1000, Loss: 14.5877, Valid Loss: 19.1380
Epoch 79/1000, Loss: 15.3726, Valid Loss: 13.2292
Epoch 80/1000, Loss: 15.2588, Valid Loss: 14.0983
Epoch 81/1000, Loss: 15.5160, Valid Loss: 15.8677
Epoch 82/1000, Loss: 15.3703, Valid Loss: 13.9758
Epoch 83/1000, Loss: 14.5899, Valid Loss: 14.1957
Epoch 84/1000, Loss: 14.7676, Valid Loss: 13.7595
Epoch 85/1000, Loss: 15.0073, Valid Loss: 14.5683
Epoch 86/1000, Loss: 15.5351, Valid Loss: 11.8849
Epoch 87/1000, Loss: 15.7784, Valid Loss: 17.1967
Epoch 88/1000, Loss: 14.7888, Valid Loss: 14.0048
Epoch 89/1000, Loss: 15.6921, Valid Loss: 12.8186
Epoch 90/1000, Loss: 14.4516, Valid Loss: 16.2336
Epoch 91/1000, Loss: 16.2718, Valid Loss: 14.7806
Epoch 92/1000, Loss: 14.3250, Valid Loss: 16.1427
Epoch 93/1000, Loss: 15.6918, Valid Loss: 14.3609
Epoch 94/1000, Loss: 14.3106, Valid Loss: 15.7738
Epoch 95/1000, Loss: 14.5787, Valid Loss: 13.7587
Epoch 96/1000, Loss: 14.3831, Valid Loss: 13.8474
Epoch 97/1000, Loss: 14.7121, Valid Loss: 13.2970
Epoch 98/1000, Loss: 14.4839, Valid Loss: 15.6500
Epoch 99/1000, Loss: 14.1773, Valid Loss: 14.7044
Epoch 100/1000, Loss: 14.4516, Valid Loss: 15.6351
Epoch 101/1000, Loss: 14.8729, Valid Loss: 16.6332
Epoch 102/1000, Loss: 14.7936, Valid Loss: 13.0411
Epoch 103/1000, Loss: 15.0732, Valid Loss: 14.4489
Epoch 104/1000, Loss: 15.2369, Valid Loss: 17.7937
Epoch 105/1000, Loss: 15.4871, Valid Loss: 13.1188
Epoch 106/1000, Loss: 15.0469, Valid Loss: 16.8574
Epoch 107/1000, Loss: 14.4278, Valid Loss: 13.1757
Epoch 108/1000, Loss: 15.6859, Valid Loss: 15.2193
Epoch 109/1000, Loss: 14.7483, Valid Loss: 14.0630
Epoch 110/1000, Loss: 14.8505, Valid Loss: 15.0274
Epoch 111/1000, Loss: 15.2527, Valid Loss: 13.9327
Epoch 112/1000, Loss: 14.9360, Valid Loss: 13.3007
Epoch 113/1000, Loss: 15.7564, Valid Loss: 13.3850
Epoch 114/1000, Loss: 15.8558, Valid Loss: 14.6368
Epoch 115/1000, Loss: 14.3936, Valid Loss: 14.8706
Epoch 116/1000, Loss: 14.7180, Valid Loss: 17.7789
