WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
Exp: 7 Model: 7 mini_batch
Remember to switch the noise schedule for sampling!
Using EDM noise schedule with log_snr_min: -8.764053344726562, log_snr_max: 12.429216384887695
Kernel type: variance_preserving, noise schedule: edm-training
t_min: 0.9999853372573853, t_max: 1.6391277313232422e-06
alpha, sigma: (tensor(1.0000), tensor(0.0020)) (tensor(0.0125), tensor(0.9999))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_F_variance_preserving_edm-training_edm
Training F-model for 1000 epochs with learning rate 0.0005 and edm weighting.
Epoch 1/1000, Loss: 0.9698, Valid Loss: 0.9405
Epoch 2/1000, Loss: 0.9419, Valid Loss: 0.9403
Epoch 3/1000, Loss: 0.9198, Valid Loss: 0.8835
Epoch 4/1000, Loss: 0.9077, Valid Loss: 0.9033
Epoch 5/1000, Loss: 0.8904, Valid Loss: 0.8989
Epoch 6/1000, Loss: 0.8918, Valid Loss: 0.8808
Epoch 7/1000, Loss: 0.8900, Valid Loss: 0.8816
Epoch 8/1000, Loss: 0.8872, Valid Loss: 0.8779
Epoch 9/1000, Loss: 0.8865, Valid Loss: 0.8859
Epoch 10/1000, Loss: 0.8844, Valid Loss: 0.8599
Epoch 11/1000, Loss: 0.8869, Valid Loss: 0.8664
Epoch 12/1000, Loss: 0.8850, Valid Loss: 0.8658
Epoch 13/1000, Loss: 0.8877, Valid Loss: 0.8784
Epoch 14/1000, Loss: 0.8781, Valid Loss: 0.8969
Epoch 15/1000, Loss: 0.8849, Valid Loss: 0.8838
Epoch 16/1000, Loss: 0.8826, Valid Loss: 0.8906
Epoch 17/1000, Loss: 0.8893, Valid Loss: 0.8818
Epoch 18/1000, Loss: 0.8832, Valid Loss: 0.8870
Epoch 19/1000, Loss: 0.8806, Valid Loss: 0.8542
Epoch 20/1000, Loss: 0.8791, Valid Loss: 0.8774
Epoch 21/1000, Loss: 0.8847, Valid Loss: 0.8714
Epoch 22/1000, Loss: 0.8793, Valid Loss: 0.8671
Epoch 23/1000, Loss: 0.8810, Valid Loss: 0.8849
Epoch 24/1000, Loss: 0.8853, Valid Loss: 0.8798
Epoch 25/1000, Loss: 0.8738, Valid Loss: 0.8737
Epoch 26/1000, Loss: 0.8801, Valid Loss: 0.8815
Epoch 27/1000, Loss: 0.8862, Valid Loss: 0.8683
Epoch 28/1000, Loss: 0.8807, Valid Loss: 0.8850
Epoch 29/1000, Loss: 0.8831, Valid Loss: 0.8852
Epoch 30/1000, Loss: 0.8857, Valid Loss: 0.8844
Epoch 31/1000, Loss: 0.8790, Valid Loss: 0.8892
Epoch 32/1000, Loss: 0.8739, Valid Loss: 0.8750
Epoch 33/1000, Loss: 0.8759, Valid Loss: 0.8807
Epoch 34/1000, Loss: 0.8777, Valid Loss: 0.8975
Epoch 35/1000, Loss: 0.8765, Valid Loss: 0.8836
Epoch 36/1000, Loss: 0.8723, Valid Loss: 0.8626
Epoch 37/1000, Loss: 0.8748, Valid Loss: 0.8780
Epoch 38/1000, Loss: 0.8760, Valid Loss: 0.8598
Epoch 39/1000, Loss: 0.8774, Valid Loss: 0.8973
Epoch 40/1000, Loss: 0.8758, Valid Loss: 0.8720
Epoch 41/1000, Loss: 0.8877, Valid Loss: 0.8910
Epoch 42/1000, Loss: 0.8706, Valid Loss: 0.8924
Epoch 43/1000, Loss: 0.8802, Valid Loss: 0.8781
Epoch 44/1000, Loss: 0.8795, Valid Loss: 0.8746
Epoch 45/1000, Loss: 0.8729, Valid Loss: 0.8906
Epoch 46/1000, Loss: 0.8811, Valid Loss: 0.8829
Epoch 47/1000, Loss: 0.8819, Valid Loss: 0.8947
Epoch 48/1000, Loss: 0.8670, Valid Loss: 0.8530
Epoch 49/1000, Loss: 0.8827, Valid Loss: 0.8778
Epoch 50/1000, Loss: 0.8844, Valid Loss: 0.8895
Epoch 51/1000, Loss: 0.8794, Valid Loss: 0.8978
Epoch 52/1000, Loss: 0.8746, Valid Loss: 0.9064
Epoch 53/1000, Loss: 0.8801, Valid Loss: 0.8495
Epoch 54/1000, Loss: 0.8783, Valid Loss: 0.8817
Epoch 55/1000, Loss: 0.8712, Valid Loss: 0.8626
Epoch 56/1000, Loss: 0.8803, Valid Loss: 0.9116
Epoch 57/1000, Loss: 0.8822, Valid Loss: 0.8891
Epoch 58/1000, Loss: 0.8740, Valid Loss: 0.8717
Epoch 59/1000, Loss: 0.8714, Valid Loss: 0.8744
Epoch 60/1000, Loss: 0.8792, Valid Loss: 0.8685
Epoch 61/1000, Loss: 0.8872, Valid Loss: 0.8678
Epoch 62/1000, Loss: 0.8698, Valid Loss: 0.8725
Epoch 63/1000, Loss: 0.8751, Valid Loss: 0.8584
Epoch 64/1000, Loss: 0.8807, Valid Loss: 0.8717
Epoch 65/1000, Loss: 0.8831, Valid Loss: 0.8681
Epoch 66/1000, Loss: 0.8715, Valid Loss: 0.8853
Epoch 67/1000, Loss: 0.8773, Valid Loss: 0.8792
Epoch 68/1000, Loss: 0.8796, Valid Loss: 0.8534
Epoch 69/1000, Loss: 0.8804, Valid Loss: 0.8610
Epoch 70/1000, Loss: 0.8781, Valid Loss: 0.8679
Epoch 71/1000, Loss: 0.8742, Valid Loss: 0.8698
Epoch 72/1000, Loss: 0.8790, Valid Loss: 0.8537
Epoch 73/1000, Loss: 0.8724, Valid Loss: 0.8817
Epoch 74/1000, Loss: 0.8688, Valid Loss: 0.8680
Epoch 75/1000, Loss: 0.8819, Valid Loss: 0.8686
Epoch 76/1000, Loss: 0.8825, Valid Loss: 0.8676
Epoch 77/1000, Loss: 0.8783, Valid Loss: 0.8720
Epoch 78/1000, Loss: 0.8704, Valid Loss: 0.8603
Epoch 79/1000, Loss: 0.8755, Valid Loss: 0.8601
Epoch 80/1000, Loss: 0.8756, Valid Loss: 0.8857
Epoch 81/1000, Loss: 0.8712, Valid Loss: 0.8544
Epoch 82/1000, Loss: 0.8767, Valid Loss: 0.8664
Epoch 83/1000, Loss: 0.8795, Valid Loss: 0.8622
Epoch 84/1000, Loss: 0.8809, Valid Loss: 0.8852
Epoch 85/1000, Loss: 0.8803, Valid Loss: 0.8793
Epoch 86/1000, Loss: 0.8739, Valid Loss: 0.8685
Epoch 87/1000, Loss: 0.8787, Valid Loss: 0.8642
Epoch 88/1000, Loss: 0.8736, Valid Loss: 0.8795
Epoch 89/1000, Loss: 0.8805, Valid Loss: 0.8735
Epoch 90/1000, Loss: 0.8813, Valid Loss: 0.8759
