WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 7 Model: 7 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 16.1196, Valid Loss: 16.3439
Epoch 2/1000, Loss: 16.6396, Valid Loss: 13.4186
Epoch 3/1000, Loss: 15.5533, Valid Loss: 15.1006
Epoch 4/1000, Loss: 15.5079, Valid Loss: 13.5003
Epoch 5/1000, Loss: 14.7945, Valid Loss: 14.2407
Epoch 6/1000, Loss: 15.0327, Valid Loss: 14.5639
Epoch 7/1000, Loss: 15.6520, Valid Loss: 15.7431
Epoch 8/1000, Loss: 13.9759, Valid Loss: 20.1241
Epoch 9/1000, Loss: 16.5737, Valid Loss: 13.7804
Epoch 10/1000, Loss: 14.5014, Valid Loss: 15.6628
Epoch 11/1000, Loss: 15.2236, Valid Loss: 18.4515
Epoch 12/1000, Loss: 14.6515, Valid Loss: 13.6515
Epoch 13/1000, Loss: 15.3083, Valid Loss: 22.5500
Epoch 14/1000, Loss: 14.8596, Valid Loss: 13.5915
Epoch 15/1000, Loss: 15.9748, Valid Loss: 15.9019
Epoch 16/1000, Loss: 14.7851, Valid Loss: 18.9076
Epoch 17/1000, Loss: 14.6264, Valid Loss: 12.9068
Epoch 18/1000, Loss: 14.3118, Valid Loss: 17.5291
Epoch 19/1000, Loss: 15.1019, Valid Loss: 12.6233
Epoch 20/1000, Loss: 14.4401, Valid Loss: 15.4642
Epoch 21/1000, Loss: 14.9230, Valid Loss: 14.5271
Epoch 22/1000, Loss: 14.7210, Valid Loss: 13.8100
Epoch 23/1000, Loss: 15.8331, Valid Loss: 15.7769
Epoch 24/1000, Loss: 15.0416, Valid Loss: 12.1089
Epoch 25/1000, Loss: 14.2772, Valid Loss: 14.7954
Epoch 26/1000, Loss: 14.2876, Valid Loss: 15.3310
Epoch 27/1000, Loss: 14.3617, Valid Loss: 14.2069
Epoch 28/1000, Loss: 14.4986, Valid Loss: 13.2227
Epoch 29/1000, Loss: 14.7069, Valid Loss: 17.2266
Epoch 30/1000, Loss: 14.0393, Valid Loss: 14.8620
Epoch 31/1000, Loss: 14.8291, Valid Loss: 16.9296
Epoch 32/1000, Loss: 15.2298, Valid Loss: 16.8781
Epoch 33/1000, Loss: 15.0589, Valid Loss: 16.5695
Epoch 34/1000, Loss: 15.3554, Valid Loss: 11.7831
Epoch 35/1000, Loss: 15.2389, Valid Loss: 12.3406
Epoch 36/1000, Loss: 14.9570, Valid Loss: 12.7674
Epoch 37/1000, Loss: 14.6457, Valid Loss: 22.3540
Epoch 38/1000, Loss: 14.7004, Valid Loss: 14.3485
Epoch 39/1000, Loss: 14.5319, Valid Loss: 16.9632
Epoch 40/1000, Loss: 14.2140, Valid Loss: 12.1004
Epoch 41/1000, Loss: 14.3156, Valid Loss: 12.4239
Epoch 42/1000, Loss: 15.2910, Valid Loss: 14.7545
Epoch 43/1000, Loss: 14.8208, Valid Loss: 16.0194
Epoch 44/1000, Loss: 14.9324, Valid Loss: 13.3371
Epoch 45/1000, Loss: 14.3993, Valid Loss: 12.6272
Epoch 46/1000, Loss: 14.4600, Valid Loss: 13.2517
Epoch 47/1000, Loss: 14.0139, Valid Loss: 17.8396
Epoch 48/1000, Loss: 15.4722, Valid Loss: 15.5564
Epoch 49/1000, Loss: 14.7397, Valid Loss: 19.4300
Epoch 50/1000, Loss: 14.5123, Valid Loss: 13.7007
Epoch 51/1000, Loss: 14.2264, Valid Loss: 14.5020
Epoch 52/1000, Loss: 15.5629, Valid Loss: 17.5232
Epoch 53/1000, Loss: 14.6418, Valid Loss: 11.9982
Epoch 54/1000, Loss: 14.5871, Valid Loss: 18.5051
Epoch 55/1000, Loss: 15.2249, Valid Loss: 11.8962
Epoch 56/1000, Loss: 15.4057, Valid Loss: 12.4386
Epoch 57/1000, Loss: 14.5056, Valid Loss: 13.8140
Epoch 58/1000, Loss: 15.1712, Valid Loss: 13.1028
Epoch 59/1000, Loss: 14.3327, Valid Loss: 13.2751
Epoch 60/1000, Loss: 13.9654, Valid Loss: 12.9171
Epoch 61/1000, Loss: 14.2776, Valid Loss: 13.8245
Epoch 62/1000, Loss: 14.5320, Valid Loss: 12.2941
Epoch 63/1000, Loss: 15.2948, Valid Loss: 16.4209
Epoch 64/1000, Loss: 14.7074, Valid Loss: 15.2142
Epoch 65/1000, Loss: 14.7329, Valid Loss: 17.3954
Epoch 66/1000, Loss: 14.7059, Valid Loss: 11.7522
Epoch 67/1000, Loss: 14.8587, Valid Loss: 12.6821
Epoch 68/1000, Loss: 14.8545, Valid Loss: 11.6298
Epoch 69/1000, Loss: 14.1861, Valid Loss: 12.3663
Epoch 70/1000, Loss: 15.0036, Valid Loss: 22.1163
Epoch 71/1000, Loss: 14.7928, Valid Loss: 16.0470
Epoch 72/1000, Loss: 14.2736, Valid Loss: 12.8149
Epoch 73/1000, Loss: 14.1111, Valid Loss: 12.9649
Epoch 74/1000, Loss: 13.6547, Valid Loss: 17.7057
Epoch 75/1000, Loss: 14.4885, Valid Loss: 13.8413
Epoch 76/1000, Loss: 14.8157, Valid Loss: 13.9243
Epoch 77/1000, Loss: 14.9323, Valid Loss: 12.3533
Epoch 78/1000, Loss: 15.5342, Valid Loss: 18.7226
Epoch 79/1000, Loss: 14.4311, Valid Loss: 14.0112
Epoch 80/1000, Loss: 15.2144, Valid Loss: 16.0597
Epoch 81/1000, Loss: 13.8814, Valid Loss: 12.8646
Epoch 82/1000, Loss: 14.2245, Valid Loss: 13.5411
Epoch 83/1000, Loss: 13.9809, Valid Loss: 14.3157
Epoch 84/1000, Loss: 14.7469, Valid Loss: 12.6644
Epoch 85/1000, Loss: 14.4692, Valid Loss: 12.0691
Epoch 86/1000, Loss: 14.0895, Valid Loss: 13.6331
Epoch 87/1000, Loss: 14.2008, Valid Loss: 13.6618
Epoch 88/1000, Loss: 15.5765, Valid Loss: 15.7625
Epoch 89/1000, Loss: 14.2843, Valid Loss: 17.8642
Epoch 90/1000, Loss: 14.1209, Valid Loss: 17.7860
Epoch 91/1000, Loss: 13.6376, Valid Loss: 14.7342
Epoch 92/1000, Loss: 14.5102, Valid Loss: 19.6378
Epoch 93/1000, Loss: 15.0545, Valid Loss: 16.2575
Epoch 94/1000, Loss: 14.1949, Valid Loss: 14.4883
Epoch 95/1000, Loss: 14.4347, Valid Loss: 16.0252
Epoch 96/1000, Loss: 14.2960, Valid Loss: 12.4248
Epoch 97/1000, Loss: 15.2166, Valid Loss: 12.2734
Epoch 98/1000, Loss: 14.7758, Valid Loss: 12.3144
Epoch 99/1000, Loss: 14.9677, Valid Loss: 13.5921
