WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
Exp: 4 Model: 4 n_conditions
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|       summary_net.enc.0.weight       |     80     |
|        summary_net.enc.0.bias        |     8      |
|       summary_net.enc.2.weight       |     64     |
|        summary_net.enc.2.bias        |     8      |
|       summary_net.enc.4.weight       |     64     |
|        summary_net.enc.4.bias        |     8      |
|       summary_net.enc.6.weight       |     64     |
|        summary_net.enc.6.bias        |     8      |
|       summary_net.dec.0.weight       |     64     |
|        summary_net.dec.0.bias        |     8      |
|       summary_net.dec.2.weight       |     64     |
|        summary_net.dec.2.bias        |     8      |
|       summary_net.dec.4.weight       |     64     |
|        summary_net.dec.4.bias        |     8      |
|       summary_net.dec.6.weight       |     80     |
|        summary_net.dec.6.bias        |     10     |
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 277356
gaussian_flat4_100score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.2590, Valid Loss: 14.0647
Epoch 2/1000, Loss: 15.2646, Valid Loss: 13.1468
Epoch 3/1000, Loss: 14.8703, Valid Loss: 15.1775
Epoch 4/1000, Loss: 15.2990, Valid Loss: 13.7058
Epoch 5/1000, Loss: 15.4045, Valid Loss: 14.1879
Epoch 6/1000, Loss: 16.2155, Valid Loss: 18.1907
Epoch 7/1000, Loss: 15.5398, Valid Loss: 15.6964
Epoch 8/1000, Loss: 15.4182, Valid Loss: 11.2113
Epoch 9/1000, Loss: 14.3410, Valid Loss: 14.7670
Epoch 10/1000, Loss: 15.2207, Valid Loss: 13.8064
Epoch 11/1000, Loss: 14.9770, Valid Loss: 11.3973
Epoch 12/1000, Loss: 14.4866, Valid Loss: 13.9413
Epoch 13/1000, Loss: 15.3383, Valid Loss: 14.9585
Epoch 14/1000, Loss: 16.0705, Valid Loss: 15.2913
Epoch 15/1000, Loss: 14.6555, Valid Loss: 15.1735
Epoch 16/1000, Loss: 15.7278, Valid Loss: 13.7018
Epoch 17/1000, Loss: 17.2133, Valid Loss: 12.9456
Epoch 18/1000, Loss: 15.5197, Valid Loss: 13.5804
Epoch 19/1000, Loss: 15.3342, Valid Loss: 14.4872
Epoch 20/1000, Loss: 15.2162, Valid Loss: 21.8819
Epoch 21/1000, Loss: 15.0357, Valid Loss: 15.0791
Epoch 22/1000, Loss: 14.4539, Valid Loss: 18.5656
Epoch 23/1000, Loss: 15.1532, Valid Loss: 13.6249
Epoch 24/1000, Loss: 14.1598, Valid Loss: 13.2640
Epoch 25/1000, Loss: 15.2452, Valid Loss: 18.5171
Epoch 26/1000, Loss: 14.9772, Valid Loss: 14.1036
Epoch 27/1000, Loss: 14.7455, Valid Loss: 15.0916
Epoch 28/1000, Loss: 16.0979, Valid Loss: 12.7398
Epoch 29/1000, Loss: 15.5681, Valid Loss: 15.0797
Epoch 30/1000, Loss: 15.2531, Valid Loss: 12.4694
Epoch 31/1000, Loss: 15.7333, Valid Loss: 16.1725
Epoch 32/1000, Loss: 15.0286, Valid Loss: 14.1281
Epoch 33/1000, Loss: 15.0724, Valid Loss: 13.9425
Epoch 34/1000, Loss: 14.7301, Valid Loss: 13.6199
Epoch 35/1000, Loss: 14.8972, Valid Loss: 16.0393
Epoch 36/1000, Loss: 16.0069, Valid Loss: 14.5893
Epoch 37/1000, Loss: 14.5469, Valid Loss: 17.0957
Epoch 38/1000, Loss: 15.2038, Valid Loss: 15.3420
Epoch 39/1000, Loss: 14.7606, Valid Loss: 16.7462
Epoch 40/1000, Loss: 14.5752, Valid Loss: 14.8684
Epoch 41/1000, Loss: 15.2287, Valid Loss: 17.2492
Epoch 42/1000, Loss: 15.1588, Valid Loss: 13.0566
Epoch 43/1000, Loss: 14.7443, Valid Loss: 13.6471
Epoch 44/1000, Loss: 14.8522, Valid Loss: 14.3728
Epoch 45/1000, Loss: 14.5533, Valid Loss: 16.0216
Epoch 46/1000, Loss: 14.6932, Valid Loss: 17.6323
Epoch 47/1000, Loss: 14.9105, Valid Loss: 16.6559
Epoch 48/1000, Loss: 14.8125, Valid Loss: 12.5412
Epoch 49/1000, Loss: 14.6673, Valid Loss: 14.0050
Epoch 50/1000, Loss: 15.8683, Valid Loss: 14.5315
Epoch 51/1000, Loss: 14.5353, Valid Loss: 12.4711
Epoch 52/1000, Loss: 14.7892, Valid Loss: 15.8112
Epoch 53/1000, Loss: 15.4204, Valid Loss: 16.0111
Epoch 54/1000, Loss: 15.3970, Valid Loss: 12.9721
Epoch 55/1000, Loss: 14.0129, Valid Loss: 13.5375
Epoch 56/1000, Loss: 15.3968, Valid Loss: 18.0285
Epoch 57/1000, Loss: 15.7601, Valid Loss: 14.0132
Epoch 58/1000, Loss: 15.0282, Valid Loss: 13.5189
Epoch 59/1000, Loss: 16.8152, Valid Loss: 14.4036
Epoch 60/1000, Loss: 14.8512, Valid Loss: 14.3842
Epoch 61/1000, Loss: 15.3411, Valid Loss: 14.4948
Epoch 62/1000, Loss: 15.0989, Valid Loss: 14.0994
Epoch 63/1000, Loss: 14.6978, Valid Loss: 15.1876
Epoch 64/1000, Loss: 14.9452, Valid Loss: 15.4090
Epoch 65/1000, Loss: 15.5046, Valid Loss: 17.2571
Epoch 66/1000, Loss: 13.8613, Valid Loss: 13.4539
Epoch 67/1000, Loss: 14.6545, Valid Loss: 12.7896
Epoch 68/1000, Loss: 15.0514, Valid Loss: 13.1894
Epoch 69/1000, Loss: 15.3893, Valid Loss: 19.6944
Epoch 70/1000, Loss: 15.5714, Valid Loss: 15.6084
Epoch 71/1000, Loss: 16.3493, Valid Loss: 15.4051
Epoch 72/1000, Loss: 15.0056, Valid Loss: 12.9278
Epoch 73/1000, Loss: 16.0820, Valid Loss: 13.1437
Epoch 74/1000, Loss: 15.1100, Valid Loss: 13.9103
Epoch 75/1000, Loss: 15.0427, Valid Loss: 11.5625
Epoch 76/1000, Loss: 15.0048, Valid Loss: 13.2784
Epoch 77/1000, Loss: 15.0729, Valid Loss: 16.0726
Epoch 78/1000, Loss: 15.0663, Valid Loss: 12.8886
Epoch 79/1000, Loss: 14.8080, Valid Loss: 13.3009
Epoch 80/1000, Loss: 15.6836, Valid Loss: 13.8463
Epoch 81/1000, Loss: 14.5710, Valid Loss: 13.1390
Epoch 82/1000, Loss: 14.5939, Valid Loss: 12.8669
Epoch 83/1000, Loss: 14.9270, Valid Loss: 13.4237
Epoch 84/1000, Loss: 14.7643, Valid Loss: 15.5169
Epoch 85/1000, Loss: 14.9904, Valid Loss: 14.8281
Epoch 86/1000, Loss: 14.7043, Valid Loss: 11.9942
Epoch 87/1000, Loss: 14.3312, Valid Loss: 14.8307
Epoch 88/1000, Loss: 15.0890, Valid Loss: 12.7492
Epoch 89/1000, Loss: 15.2305, Valid Loss: 15.1069
Epoch 90/1000, Loss: 14.6800, Valid Loss: 19.5019
Epoch 91/1000, Loss: 15.5079, Valid Loss: 16.8560
Epoch 92/1000, Loss: 14.6643, Valid Loss: 17.2895
Epoch 93/1000, Loss: 15.8536, Valid Loss: 16.3115
Epoch 94/1000, Loss: 14.0048, Valid Loss: 12.4417
Epoch 95/1000, Loss: 14.9222, Valid Loss: 15.7690
Epoch 96/1000, Loss: 15.0776, Valid Loss: 15.2464
Epoch 97/1000, Loss: 14.4472, Valid Loss: 20.0516
Epoch 98/1000, Loss: 14.8349, Valid Loss: 15.8473
Epoch 99/1000, Loss: 15.5150, Valid Loss: 15.4176
Epoch 100/1000, Loss: 15.3249, Valid Loss: 14.0337
Epoch 101/1000, Loss: 14.8102, Valid Loss: 12.6051
Epoch 102/1000, Loss: 15.5606, Valid Loss: 13.2025
Epoch 103/1000, Loss: 14.5445, Valid Loss: 14.8783
Epoch 104/1000, Loss: 15.2666, Valid Loss: 14.3107
Epoch 105/1000, Loss: 14.9683, Valid Loss: 17.6317
Epoch 106/1000, Loss: 16.0371, Valid Loss: 13.1746
Epoch 107/1000, Loss: 15.2205, Valid Loss: 13.5081
Epoch 108/1000, Loss: 14.5757, Valid Loss: 15.3747
Epoch 109/1000, Loss: 14.9620, Valid Loss: 13.0364
Epoch 110/1000, Loss: 14.9434, Valid Loss: 15.0033
Epoch 111/1000, Loss: 15.2044, Valid Loss: 13.8490
Epoch 112/1000, Loss: 15.1041, Valid Loss: 21.7516
Epoch 113/1000, Loss: 14.6041, Valid Loss: 15.0589
Epoch 114/1000, Loss: 15.2212, Valid Loss: 15.4342
Epoch 115/1000, Loss: 14.4302, Valid Loss: 15.8506
Epoch 116/1000, Loss: 13.9037, Valid Loss: 14.3450
Epoch 117/1000, Loss: 15.2143, Valid Loss: 17.0000
Epoch 118/1000, Loss: 15.5456, Valid Loss: 14.1527
Epoch 119/1000, Loss: 15.6605, Valid Loss: 12.0603
Epoch 120/1000, Loss: 15.1120, Valid Loss: 14.2411
Epoch 121/1000, Loss: 14.6814, Valid Loss: 11.8827
Epoch 122/1000, Loss: 15.4875, Valid Loss: 16.3827
Epoch 123/1000, Loss: 15.6185, Valid Loss: 15.2119
Epoch 124/1000, Loss: 14.4348, Valid Loss: 15.5146
Epoch 125/1000, Loss: 15.7401, Valid Loss: 14.0335
Epoch 126/1000, Loss: 15.3011, Valid Loss: 15.6523
Epoch 127/1000, Loss: 15.1532, Valid Loss: 15.3168
