,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,10000.0,[ 0.08954278 -0.10070411  0.11856607],"[ 0.40615904 -0.9919276   0.6599103  -0.9554318  -0.9204077   0.26841033
 -0.11505878 -0.19791383  0.43700004  0.75966907 -0.87817746 -0.9797189
  0.40432763 -0.06262934  0.6108178   0.73014927]",0.20817555,0.5,nan,0.38899678,0.5,nan,
1,16,1,1,1,1,0,10000.0,[0.50855595 0.32154578 0.35767782],"[ 0.9373703  -0.53657496 -0.5785456   0.17694044  0.6689906   0.4495579
  0.931821   -0.55822384 -0.02777106  0.9910346   0.77601266 -0.33198166
 -0.62740535  0.9053577  -0.84127843 -0.65651464]",0.20817555,0.5,nan,0.38899678,0.5,nan,
2,16,2,1,1,1,0,10000.0,[-0.41860658 -0.21185812 -0.15207863],"[-0.8593717   0.23975575 -0.61984307 -0.12895995 -0.43371266  0.6245719
  0.6740347  -0.67414945  0.50527346  0.68492985  0.83272684  0.75446725
 -0.93312424  0.77914727 -0.5952885   0.41941667]",0.20817555,0.5,nan,0.38899678,0.5,nan,
3,16,3,1,1,1,0,10000.0,[0.54004085 0.07990408 0.22645105],"[-0.34363997 -0.8500041   0.56559813 -0.98285145 -0.39750618  0.1474905
 -0.13410562  0.6605909   0.17346203  0.76390266  0.22210324 -0.01420093
 -0.3860132   0.50999284  0.45167947  0.26866317]",0.20817555,0.5,nan,0.38899678,0.5,nan,
4,16,4,1,1,1,0,10000.0,[-0.07983381 -0.24878676 -0.12012932],"[-0.04163492  0.7779509   0.7120751   0.7473333  -0.20903212 -0.4224015
  0.9698278  -0.9421984  -0.3417269   0.5427009  -0.49783456 -0.43662083
  0.24388826 -0.7214019   0.0881393  -0.05731118]",0.20817555,0.5,nan,0.38899678,0.5,nan,
5,16,5,1,1,1,0,10000.0,[ 0.03923801 -0.26897526 -0.21515615],"[-0.20952529 -0.04031461  0.81300735 -0.33171684  0.9012644   0.2884562
 -0.6562005   0.7068707   0.90579844  0.11923778  0.9944719   0.9838259
  0.9065616   0.9899782   0.9597628   0.7148961 ]",0.20817555,0.5,nan,0.38899678,0.5,nan,
6,16,6,1,1,1,0,10000.0,[ 0.1940732   0.02178661 -0.10567046],"[ 0.9089097  -0.8784793  -0.62525064 -0.5014398  -0.4240427  -0.56225336
 -0.91287076 -0.97587705  0.19254279  0.54700184 -0.59431684  0.69396687
 -0.2207846  -0.42016017 -0.03691089 -0.27863806]",0.20817555,0.5,nan,0.38899678,0.5,nan,
7,16,7,1,1,1,0,10000.0,[-0.1668064   0.28868037 -0.25698042],"[ 0.19481504  0.51825106  0.16708231 -0.13763225  0.01524293  0.2513721
  0.90575814  0.31295073  0.9314294  -0.7792121  -0.965952   -0.73682153
  0.43315697  0.7230693   0.32641506 -0.76450384]",0.20817555,0.5,nan,0.38899678,0.5,nan,
8,16,8,1,1,1,0,10000.0,[-0.09474736 -0.26351747  0.67672527],"[-0.8860079   0.9209645  -0.5033888  -0.8639902  -0.7798623  -0.9695375
 -0.7909914   0.6971437   0.83311915 -0.81961656 -0.78014743 -0.7435802
 -0.93790466 -0.8049697  -0.99899733 -0.44079167]",0.20817555,0.5,nan,0.38899678,0.5,nan,
9,16,9,1,1,1,0,10000.0,[-0.07679233  0.1660249   0.08165715],"[-0.98324704  0.7485937   0.9353545   0.03873909  0.9487245   0.25503886
 -0.8719461   0.7719412  -0.92210764  0.4043095  -0.89668286 -0.48172623
 -0.64805216  0.9443691   0.52470374  0.91774106]",0.20817555,0.5,nan,0.38899678,0.5,nan,
