,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local
0,16,0,1,1,1,0,10000.0,[0.34701812 0.22727104 0.12689866],"[-0.8520913   0.02502549 -0.5358193   0.89105916 -0.7103284  -0.86164397
  0.88303137 -0.97927344  0.16692364 -0.25552082 -0.9311729   0.8521075
  0.06413078  0.2620213  -0.8771686   0.09721553]",0.19506465,0.5,nan,0.42829847,0.5,nan
1,16,1,1,1,1,0,10000.0,[-0.33054852  0.2301537  -0.06020689],"[-0.8536982   0.96992326 -0.9833358   0.90417135 -0.9712753  -0.997988
 -0.5842974   0.73843205  0.6710644   0.9995991   0.80221844 -0.99941427
 -0.29297048 -0.7509741  -0.96327066 -0.9965413 ]",0.19506465,0.5,nan,0.42829847,0.5,nan
2,16,2,1,1,1,0,10000.0,[ 0.03179114  0.37590864 -0.1744463 ],"[ 0.9866446  -0.9925379   0.95872045 -0.89704067  0.8186921  -0.6489711
 -0.3824002  -0.14594263  0.08613539  0.12418234 -0.38274664  0.6736219
 -0.51946235 -0.6227573   0.96665835 -0.48855144]",0.19506465,0.5,nan,0.42829847,0.5,nan
3,16,3,1,1,1,0,10000.0,[ 0.22773813  0.14456293 -0.07546607],"[-0.10067248  0.9491911  -0.35608357 -0.93197364 -0.90859663 -0.1289773
  0.876117   -0.5508221   0.7463076  -0.43649328 -0.67738223  0.04061854
  0.7195008   0.6748731  -0.8565924   0.5338687 ]",0.19506465,0.5,nan,0.42829847,0.5,nan
4,16,4,1,1,1,0,10000.0,[-0.44140565 -0.09114689  0.04323921],"[ 0.5760219  -0.11921155  0.6828625  -0.8405749   0.91102684 -0.84131026
  0.18845642 -0.7667092  -0.9393773  -0.8888053   0.04588449  0.23869443
 -0.44490552  0.17782092 -0.22783995 -0.9954615 ]",0.19506465,0.5,nan,0.42829847,0.5,nan
5,16,5,1,1,1,0,10000.0,[-0.11525906  0.17855373  0.14559072],"[ 0.41612983 -0.69239616  0.17908835 -0.29825515  0.43892372 -0.04587489
 -0.26375443  0.9387772  -0.90687215 -0.5613096  -0.9818583   0.9858879
 -0.09837615 -0.05704647 -0.12257773 -0.33572435]",0.19506465,0.5,nan,0.42829847,0.5,nan
6,16,6,1,1,1,0,10000.0,[0.41790658 0.15948437 0.10288341],"[ 0.8761755  -0.7854187   0.9857178  -0.5049901  -0.65708727  0.7077788
 -0.23463547 -0.1937595  -0.797342    0.54274786  0.8663198  -0.70315003
 -0.24692285  0.85059     0.94814205 -0.72685266]",0.19506465,0.5,nan,0.42829847,0.5,nan
7,16,7,1,1,1,0,10000.0,[ 0.11103684 -0.01076177  0.21223241],"[-0.97361726 -0.96697205 -0.8708773  -0.1753481   0.59415233 -0.99790853
 -0.7921691  -0.04522145 -0.7330291   0.6074358  -0.35206723 -0.21003556
  0.54578114 -0.43589127 -0.24099487 -0.39321703]",0.19506465,0.5,nan,0.42829847,0.5,nan
8,16,8,1,1,1,0,10000.0,[0.04786805 0.17378743 0.6522656 ],"[-0.15119183  0.9458909  -0.5604775  -0.92990506  0.83157325 -0.18292344
  0.91186655  0.45084417  0.125067    0.9163295  -0.82719535  0.6252464
 -0.956385    0.28814745 -0.17423135 -0.5429373 ]",0.19506465,0.5,nan,0.42829847,0.5,nan
9,16,9,1,1,1,0,10000.0,[-0.06812445 -0.33167624 -0.24493974],"[-0.14514285 -0.2302711  -0.32220775 -0.08545125  0.1562078   0.06201589
 -0.40165037  0.20012617 -0.95429265 -0.6770837  -0.06417388  0.6790234
  0.22246993 -0.3019536  -0.59438413  0.89035726]",0.19506465,0.5,nan,0.42829847,0.5,nan
