,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,list_steps,mmd,median,median_rmse,c_error,contractions,rel_contraction
0,1,0,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.954987692518489,"[ 75.740395   41.41172   226.70697    -1.3152096  -0.9759136  37.151524
  56.03998    36.618767   83.505585   17.921343 ]",184.40648,0.5,0.99999994,1.9999999
1,1,1,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9531319211124551,"[ 158.90578   -201.54257    -31.591055     5.956155  -104.70461
 -104.973885    11.6981325 -128.81914   -114.27109   -117.11042  ]",330.32983,0.5,1.0,2.0
2,1,2,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9558239273968816,"[ 3.3703167e+01  1.3579842e+02  5.9477131e+01  1.1995782e+02
  1.2930642e-01  4.6288815e+00 -1.9537608e+02 -4.9592625e+01
  2.7224517e-01  6.8903572e+01]",453.29715,0.5,0.99999976,1.9999995
3,1,3,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9501849082275249,"[-139.6697      18.632196    50.470863    32.77426     37.8984
   71.14113     73.377266     3.1472652  -68.713875  -167.61484  ]",143.99359,0.5,1.0,2.0
4,1,4,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9516983434803434,"[   0.67752856  -35.507977   -145.54228     -57.105656     -7.529355
  -92.03997     139.75342      58.603897     31.01692     -19.698156  ]",202.47559,0.5,1.0,2.0
5,1,5,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9538470731208544,"[-55.41071     -0.44841352 -54.15684     67.83089    -18.429205
 -15.562701    61.682068    27.23995     29.6533     -83.034615  ]",274.00443,0.5,0.99999994,1.9999999
6,1,6,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.952988940391782,"[ -9.971835   -16.119368   -45.184895    93.13538    -19.30492
 101.365524   -86.89659    104.51516     83.98211      0.43577576]",287.36087,0.5,0.9999999,1.9999998
7,1,7,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9522527810675752,"[-37.894474  26.32168   56.02693   35.186493 -40.58567  143.72887
 -50.27917   21.101923 -32.401573  46.863834]",304.39594,0.5,0.99999994,1.9999999
8,1,8,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9532803407056396,"[  33.197086   -72.14647    280.20865    -38.716103    -7.780168
 -135.72911      0.7695388  -18.813395   -18.872122     4.6594   ]",206.9517,0.5,0.99999994,1.9999999
9,1,9,1,0.01,1,0,6.0,"[0.5, None, 0.06378920376300812, None, 0.06481780856847763, 0.37139299511909485]",1.9525569139848833,"[ -77.78373  -146.74309   -15.578527  -45.515327 -129.48392    92.98145
   19.707064  124.81615    85.61552    42.617607]",328.15073,0.5,0.9999999,1.9999998
