,data_size,data_id,mini_batch,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
0,1,0,1,43,"[0.01       0.01022966 0.01128611 0.01186726 0.01336497 0.01237078
 0.01373611 0.01343347 0.01292839 0.01320661 0.01331597 0.01444496
 0.01544011 0.01664779 0.01732892 0.01599436 0.01626614 0.01856936
 0.01956518 0.01902394 0.01971046 0.01918141 0.01961772 0.02118836
 0.01933514 0.02008022 0.01844097 0.01856975 0.02028912 0.01988825
 0.02014752 0.0196438  0.02252015 0.02623369 0.02916554 0.02901003
 0.03211956 0.03742918 0.0393981  0.04930054 0.05901227 0.07817138
 0.07252661]",0.021515182394268306,"[-0.16648245 -0.01358702  0.10404909  0.11752738  0.25334743 -0.09314546
  0.0387597  -0.07538059  0.07423553  0.12036753]",0.054494580926405,"[0.00954906 0.1845632  0.36393984 0.48050324 0.49046159 0.08208139
 0.35947973 0.27221704 0.4823541  0.5079089 ]",0.6466116178780796
1,1,1,1,43,"[0.01       0.01022857 0.01128321 0.01186465 0.01336152 0.01236773
 0.01373556 0.01343898 0.01293824 0.01320612 0.01332366 0.01444364
 0.01542525 0.01663968 0.01727158 0.01598988 0.01625408 0.0185178
 0.01937123 0.01877044 0.01962987 0.01915221 0.01946883 0.02093257
 0.01921174 0.0201805  0.01901424 0.01855811 0.02078885 0.01964434
 0.02128537 0.02105973 0.02310885 0.02733021 0.03050525 0.03118975
 0.03384577 0.04118999 0.03846239 0.04695815 0.04726433 0.05901035
 0.09377669]",0.006491124279838445,"[-0.03549628  0.07316101 -0.01311272 -0.11300784 -0.01771466  0.06706615
  0.16189332  0.01689422 -0.02474624 -0.067844  ]",0.028179834657228404,"[-0.01238824  0.19115705  0.32681895  0.39921587  0.43492888  0.05776167
  0.32791861  0.27633787  0.48874153  0.46117117]",0.5903326701372864
2,10,0,1,45,"[0.01       0.0102295  0.01031111 0.01042807 0.01138915 0.01203797
 0.01188719 0.01183127 0.0117689  0.01127478 0.0107662  0.01251364
 0.01223341 0.01304841 0.01318991 0.01291541 0.01423717 0.01350902
 0.01584977 0.01710849 0.01465647 0.01618827 0.01631776 0.01802927
 0.01930637 0.02052383 0.02012617 0.02347927 0.02215734 0.02326608
 0.02377794 0.02455899 0.02614788 0.02754657 0.02840971 0.02919327
 0.03260607 0.03465659 0.03740292 0.03654566 0.04549681 0.04545401
 0.06203075 0.07098082 0.03461163]",0.033975317357108015,"[-0.01099527 -0.08078509  0.04135445  0.18884313  0.16226715 -0.02369505
  0.0297857  -0.05523296 -0.03972057  0.0927812 ]",0.059395202281478605,"[-0.49718467  0.04769193  0.22208553  0.11631383  0.16738998 -0.14170006
  0.23469066  0.14361034  0.07004926  0.19240549]",0.061088752839714475
3,10,0,10,123,"[0.00317933 0.00272249 0.00339088 0.00302596 0.002693   0.00311814
 0.00273305 0.00330704 0.00278093 0.00319815 0.00289868 0.00305398
 0.00293432 0.00314043 0.0030897  0.00309637 0.00316209 0.00303214
 0.00315149 0.00326457 0.00309837 0.00325916 0.00323044 0.00353942
 0.00314065 0.00362603 0.00303797 0.00373397 0.003244   0.00378568
 0.0032682  0.00351274 0.00347068 0.00371384 0.00339154 0.00343962
 0.00392939 0.00345242 0.00432264 0.00406906 0.00361617 0.00402674
 0.00352675 0.00424395 0.00370358 0.00418299 0.00381544 0.0038588
 0.00420156 0.00389842 0.00396252 0.00428534 0.00415796 0.00425767
 0.00409049 0.00458629 0.00402314 0.00551585 0.00585937 0.00464329
 0.0043897  0.00464873 0.00456597 0.00472767 0.00434472 0.00628305
 0.00509015 0.00456247 0.00521795 0.00490749 0.00567354 0.00501621
 0.0061222  0.00562958 0.00544216 0.00568641 0.00574096 0.00559445
 0.00582378 0.0058257  0.00613623 0.00602406 0.00565708 0.00789763
 0.00858833 0.00639928 0.00678983 0.00680792 0.00739448 0.00680152
 0.00788982 0.00724409 0.00691596 0.01144778 0.00782483 0.00886442
 0.00802182 0.00926782 0.00878648 0.00945826 0.0097479  0.00937694
 0.01069005 0.01056449 0.01092439 0.01171876 0.01297186 0.01176813
 0.01473582 0.01378661 0.01320621 0.0244238  0.02705143 0.02487567
 0.01829476 0.0283607  0.01826766 0.03679259 0.03702671 0.03020942
 0.04581625 0.06779514 0.03638931]",0.08357659093775016,"[-0.04615953 -0.1125536   0.11353062  0.35879964  0.2857555  -0.02117013
  0.03854691 -0.06921799 -0.04388095  0.1348631 ]",0.09259648823084816,"[0.71010427 0.8199434  0.93824096 0.92919278 0.95237936 0.87887137
 0.93934243 0.93057756 0.97336151 0.96434878]",0.9939998653368093
4,10,1,1,45,"[0.01       0.01022931 0.01031065 0.0104263  0.01138332 0.01203198
 0.01188696 0.01183207 0.01176694 0.01127214 0.01076929 0.01251796
 0.01223085 0.01305149 0.01318428 0.01291103 0.0142282  0.01351883
 0.01586527 0.01714057 0.01465791 0.01615742 0.01622037 0.01794398
 0.01924188 0.02047662 0.0201491  0.02358831 0.02190371 0.02281762
 0.0240892  0.02466387 0.0255588  0.02677664 0.02771448 0.02929928
 0.03324679 0.03287745 0.0350606  0.03568405 0.04153724 0.0452402
 0.0537797  0.05674192 0.06801533]",0.019992181392276986,"[-0.05264969  0.10255836  0.02719482 -0.02086727 -0.00737595  0.06775105
  0.14665931 -0.02425655  0.01730621 -0.06073492]",0.042482006719846824,"[-0.27968164  0.2481228   0.34946573  0.18433772  0.28276069  0.11976168
  0.42224575  0.35197099  0.09756631  0.23052322]",0.22077805725857638
5,10,1,10,123,"[0.00317932 0.00272249 0.00339064 0.00302506 0.00269347 0.00311703
 0.00273214 0.00330775 0.00278223 0.00319616 0.00289892 0.00305261
 0.0029348  0.00313879 0.00309163 0.0030953  0.00316386 0.00303206
 0.00315241 0.00326368 0.00309913 0.00325886 0.00323203 0.00353811
 0.00314061 0.00362575 0.0030364  0.00373956 0.00324623 0.00378447
 0.00326928 0.00351    0.00347211 0.00371224 0.00339118 0.00343947
 0.00392536 0.00345252 0.00431977 0.00405712 0.00360666 0.00405242
 0.00352736 0.00423989 0.00370061 0.00418294 0.00381246 0.00386302
 0.00418805 0.00392149 0.0039362  0.00432037 0.0041535  0.00425714
 0.0040893  0.00458227 0.00402546 0.0055083  0.00597282 0.00443813
 0.00460075 0.00442997 0.00470581 0.00464473 0.00444229 0.00586798
 0.00828029 0.0062431  0.0077067  0.00505636 0.00566593 0.00511861
 0.00618352 0.00551236 0.00584132 0.00567427 0.00588059 0.00563554
 0.00619286 0.0056732  0.00666792 0.0059422  0.00608298 0.00709759
 0.006196   0.00754269 0.00708125 0.00662299 0.00798448 0.00724359
 0.00779083 0.00746352 0.00727713 0.01065091 0.00801381 0.00883779
 0.00852182 0.0093139  0.00888146 0.01037611 0.00984927 0.00906287
 0.01115498 0.01083847 0.01227182 0.01319635 0.01152945 0.01424085
 0.01344402 0.01507691 0.01621525 0.01659247 0.01499879 0.02337866
 0.01514764 0.02852705 0.02948847 0.03018466 0.03557228 0.03262692
 0.04490346 0.06406119 0.04309401]",0.04827133405885742,"[-0.12021864  0.22839922  0.0178946  -0.07453363 -0.02875044  0.15486023
  0.21260433 -0.05302502  0.00883675 -0.12068808]",0.07078244077718669,"[0.62818944 0.89419961 0.92848355 0.96028102 0.95291733 0.86501789
 0.9372457  0.93738024 0.95725352 0.95960232]",0.9922627686697524
6,100,0,1,43,"[0.01       0.01022995 0.00964864 0.00975298 0.00940624 0.01040448
 0.01096563 0.01191847 0.01235515 0.01332598 0.0152094  0.01649438
 0.01926483 0.01838473 0.01821322 0.01740069 0.01718742 0.01784305
 0.01740876 0.01820498 0.01727607 0.01832298 0.01739213 0.01904995
 0.02143084 0.02372816 0.02183183 0.02206639 0.02416769 0.02573225
 0.02342314 0.02338452 0.0215847  0.02605341 0.02756077 0.02937642
 0.03014171 0.03623737 0.0400771  0.04607086 0.05443072 0.07209425
 0.07494774]",0.05391236501209429,"[ 0.03170049 -0.0305152   0.0414358   0.14082417  0.07215333 -0.02322217
  0.05479241 -0.04305961 -0.0097559   0.04807508]",0.0712444169858865,"[-0.11589842  0.24628083  0.17723546  0.15066063  0.24706952  0.02100237
  0.25990161  0.17235449  0.10778916  0.38472696]",0.16676338239572958
7,100,0,10,125,"[0.00317934 0.0027008  0.00327389 0.00285482 0.00286758 0.00309228
 0.00285257 0.0029874  0.00283165 0.00289116 0.00310579 0.00298202
 0.00316612 0.00305423 0.00322413 0.00298562 0.00341225 0.00296212
 0.00356166 0.00315295 0.00323785 0.00314943 0.00359619 0.00312932
 0.0034625  0.00325415 0.00355293 0.00322944 0.00390246 0.0033413
 0.00340605 0.00342862 0.00352733 0.00354212 0.00329555 0.00418578
 0.00370878 0.00364086 0.00339989 0.00381415 0.00350975 0.00389212
 0.00372674 0.00408573 0.00356032 0.00411297 0.00384333 0.00435319
 0.00381648 0.00438986 0.00389874 0.00435009 0.00396584 0.00445127
 0.00422755 0.00424593 0.00468535 0.00400569 0.00511996 0.00464149
 0.00436984 0.00479264 0.00454218 0.00466222 0.00494261 0.00456382
 0.00523111 0.00464186 0.00490513 0.00492292 0.00508316 0.00570424
 0.00515193 0.00542349 0.0053914  0.00563528 0.00521275 0.00614687
 0.00567699 0.00564906 0.00634041 0.00588095 0.00687206 0.00612044
 0.00717715 0.00652281 0.00656067 0.00690706 0.00714483 0.00669556
 0.00773293 0.00707821 0.00770981 0.00745118 0.00820211 0.00787354
 0.00840256 0.00796584 0.00890378 0.00888681 0.00922943 0.0093459
 0.00982473 0.01022734 0.01030492 0.01173483 0.01034383 0.01514231
 0.01233869 0.01235036 0.01430931 0.01334704 0.01894302 0.01715927
 0.01488865 0.02548189 0.02578718 0.02689912 0.02169958 0.02612181
 0.02544978 0.04568837 0.06325638 0.03747087 0.04975178]",0.05635948371853261,"[ 0.00834815 -0.0786978   0.05305567  0.24006316  0.10893287 -0.00840555
  0.07918575 -0.06848459 -0.03870032  0.04978797]",0.0756567740785126,"[0.62172857 0.7677509  0.85684996 0.82615447 0.83556285 0.71730451
 0.87409809 0.80519525 0.86321649 0.85931492]",0.8107447762531228
8,100,0,100,1271,[0.00028441 0.00027976 0.00028013 ... 0.0001246  0.00427292 0.00174056],0.05780634443946808,"[ 0.01067191 -0.08485669  0.09724228  0.3044259   0.1642623  -0.01662461
  0.13782085 -0.08034946 -0.03668388  0.0640536 ]",0.07776952629836544,"[0.94847433 0.96217169 0.98246085 0.95873222 0.99196382 0.97505738
 0.99815658 0.97890379 0.99710296 0.99315915]",0.9884044613503283
9,100,1,1,43,"[0.01       0.01022984 0.00964748 0.00975293 0.00940538 0.01040349
 0.01096245 0.0119142  0.0123522  0.01332017 0.01521098 0.01648612
 0.01925438 0.01836788 0.01820914 0.01740066 0.01913264 0.01722014
 0.01818624 0.01826442 0.01772226 0.01773347 0.01961264 0.01888476
 0.02013347 0.02251059 0.0224261  0.02322595 0.02379077 0.02524925
 0.02363268 0.02314323 0.02130221 0.02512036 0.02641623 0.02940515
 0.02964818 0.03578021 0.04419376 0.05218362 0.05608587 0.07316388
 0.06291455]",0.008096702481945162,"[-0.0203062   0.08977391  0.05040617  0.00549757  0.02789439  0.06344604
  0.11817133 -0.05705757  0.02552864 -0.06150359]",0.024206924645417714,"[-0.13186752  0.09856906  0.25492243  0.18398969  0.1052323   0.18927252
  0.26714222  0.27422996  0.06860897  0.24244606]",0.15680711459368485
