,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1e-05,1,0,99.03,168.50417754900735,"[ 0.0367197   0.04437087 -0.15179734  0.12150192  0.036931   -0.11321753
 -0.05074064 -0.07480901  0.08308814 -0.22684763]",69919.22,0.3966052631578948,0.0,0.0
1,10,1,1,1e-05,1,0,99.03,168.73464641987317,"[-0.07257132  0.18411955  0.02248427  0.05267347 -0.02631263  0.13152665
 -0.00104097  0.04604006  0.16149335 -0.15656134]",69919.22,0.3966052631578948,0.0,0.0
2,10,2,1,1e-05,1,0,99.03,168.20397114317927,"[-0.07207002  0.02666187  0.09438032  0.13824044  0.16169542  0.1454051
 -0.01593646  0.02357252 -0.0869651  -0.04889417]",69919.22,0.3966052631578948,0.0,0.0
3,10,3,1,1e-05,1,0,99.03,166.33166916311447,"[ 0.02584929  0.09051906 -0.06605686  0.10245974  0.15575224 -0.0954816
 -0.19977024 -0.01542732  0.0773955  -0.10949685]",69919.22,0.3966052631578948,0.0,0.0
4,10,4,1,1e-05,1,0,99.03,167.4583550739498,"[ 0.09611991 -0.15250044 -0.07883485 -0.17744923 -0.12585568 -0.18270236
 -0.07806304  0.04528316  0.21447456  0.11978774]",69919.22,0.3966052631578948,0.0,0.0
5,10,5,1,1e-05,1,0,99.03,168.12601513878576,"[ 0.03274278 -0.02444815 -0.05229106  0.04194629  0.09466378  0.05206018
  0.04730891  0.0441421   0.12610263 -0.05718704]",69919.22,0.3966052631578948,0.0,0.0
6,10,6,1,1e-05,1,0,99.03,167.80348844058187,"[-0.10513847 -0.12281993  0.12199637  0.103125    0.09280457 -0.00682976
  0.00496075 -0.11446024 -0.05908379 -0.026197  ]",69919.22,0.3966052631578948,0.0,0.0
7,10,7,1,1e-05,1,0,99.03,166.27911251093897,"[ 0.07902206  0.27428973 -0.01895384  0.03665236 -0.01792433  0.13767233
 -0.20817459 -0.08058502  0.07994018  0.0277468 ]",69919.22,0.3966052631578948,0.0,0.0
8,10,8,1,1e-05,1,0,99.03,167.60808254418427,"[ 0.26575178  0.07683663 -0.04499434 -0.05760078 -0.0319843  -0.27507472
 -0.0473127   0.11586042  0.10583699 -0.063097  ]",69919.22,0.3966052631578948,0.0,0.0
9,10,9,1,1e-05,1,0,99.03,167.30936194620585,"[-0.02934294  0.08250155 -0.1264266  -0.12284984  0.07217756 -0.09804702
 -0.16999793 -0.0455922   0.03319616 -0.15352404]",69919.22,0.3966052631578948,0.0,0.0
10,10,10,1,1e-05,1,0,99.03,168.31620178135526,"[ 0.1366908   0.1273599  -0.07927561 -0.02139797 -0.14408149 -0.04317185
 -0.07500917  0.00027795  0.05825137 -0.08069466]",69919.22,0.3966052631578948,0.0,0.0
11,10,11,1,1e-05,1,0,99.03,167.6812635273134,"[ 0.06699452 -0.15879917  0.1220503   0.00399042 -0.07872041 -0.04441504
  0.10109881  0.04325957 -0.04305421 -0.07652098]",69919.22,0.3966052631578948,0.0,0.0
12,10,12,1,1e-05,1,0,99.03,168.03386609681687,"[ 0.05527321 -0.0801804   0.02097021  0.29470983 -0.05315095  0.0314547
 -0.05336972 -0.21857399  0.02301551  0.14516845]",69919.22,0.3966052631578948,0.0,0.0
13,10,13,1,1e-05,1,0,99.03,167.7045668018718,"[-0.00234049  0.09679842 -0.06845525  0.08247904 -0.02560666 -0.03581814
 -0.01312669 -0.05478473  0.13228053  0.01635898]",69919.22,0.3966052631578948,0.0,0.0
14,10,14,1,1e-05,1,0,99.03,167.84672033606435,"[ 0.18272786  0.02702354 -0.20379561  0.06400525  0.11224008  0.04142145
 -0.14136103 -0.0218014   0.02406555  0.11724034]",69919.22,0.3966052631578948,0.0,0.0
15,10,15,1,1e-05,1,0,99.03,168.17682618435984,"[ 0.15174207  0.07149833 -0.12019111  0.08522962 -0.126309   -0.05815896
 -0.07736307 -0.08166996  0.21185067 -0.10955951]",69919.22,0.3966052631578948,0.0,0.0
16,10,16,1,1e-05,1,0,99.03,168.72873303578106,"[ 0.09059124  0.1415748  -0.1307789   0.09729191 -0.07394961  0.01018065
 -0.00041804 -0.03726989  0.1268201   0.02361471]",69919.22,0.3966052631578948,0.0,0.0
17,10,17,1,1e-05,1,0,99.03,168.1184575406609,"[-0.11726595 -0.08303031  0.10399115  0.00986485 -0.16462328  0.08893366
  0.10493995  0.04238966  0.01044444 -0.06115986]",69919.22,0.3966052631578948,0.0,0.0
18,10,18,1,1e-05,1,0,99.03,167.80891598620684,"[-0.07401127  0.03194574 -0.03740744 -0.10071725  0.02239036  0.1131468
 -0.05491772 -0.04027614 -0.13752535 -0.05690522]",69919.22,0.3966052631578948,0.0,0.0
19,10,19,1,1e-05,1,0,99.03,168.47883254481948,"[ 0.14659461 -0.10469316 -0.12028707 -0.04161777  0.00281656  0.10876302
  0.11546515  0.01746255  0.12952112  0.00263276]",69919.22,0.3966052631578948,0.0,0.0
20,10,20,1,1e-05,1,0,99.03,167.20707661697313,"[ 0.01725572  0.02371756 -0.02494946  0.01787621 -0.09665186 -0.01022642
  0.1700095   0.20466837 -0.13582951 -0.1140637 ]",69919.22,0.3966052631578948,0.0,0.0
21,10,21,1,1e-05,1,0,99.03,166.09289557952042,"[ 0.11340906 -0.05109521  0.13183571  0.12727882  0.09456269 -0.00410017
 -0.00292621  0.0803618   0.11528241  0.05461113]",69919.22,0.3966052631578948,0.0,0.0
22,10,22,1,1e-05,1,0,99.03,167.9780598961519,"[ 0.11888453  0.01755644 -0.049679    0.08436432  0.10905556  0.06725316
 -0.06496102  0.01967938  0.22957532 -0.10918576]",69919.22,0.3966052631578948,0.0,0.0
23,10,23,1,1e-05,1,0,99.03,167.142076087705,"[-0.15373003 -0.10339019 -0.09207886  0.10674511 -0.07622842  0.0393107
 -0.15385246 -0.15346128 -0.11118555 -0.05728609]",69919.22,0.3966052631578948,0.0,0.0
24,10,24,1,1e-05,1,0,99.03,166.60679590253736,"[ 0.05691908  0.16702153 -0.24531904 -0.15331486  0.13722087  0.12814026
 -0.04559008 -0.10256366  0.06453876 -0.11325036]",69919.22,0.3966052631578948,0.0,0.0
25,10,25,1,1e-05,1,0,99.03,168.18082551741068,"[ 0.04320364  0.05696137 -0.11083811  0.01979077 -0.03302534  0.00177394
  0.16090517 -0.06469189 -0.11314474 -0.04387615]",69919.22,0.3966052631578948,0.0,0.0
26,10,26,1,1e-05,1,0,99.03,166.7903597528485,"[ 0.1177726  -0.14219563  0.12765649 -0.08962566 -0.09180906  0.03208776
 -0.0776969  -0.0318894   0.05818098  0.03804107]",69919.22,0.3966052631578948,0.0,0.0
27,10,27,1,1e-05,1,0,99.03,167.19236275047373,"[-0.08002636  0.02688325 -0.02945941  0.04577327 -0.12818757 -0.041963
 -0.04128166  0.00229742 -0.07041094  0.18608814]",69919.22,0.3966052631578948,0.0,0.0
28,10,28,1,1e-05,1,0,99.03,167.38081321428893,"[-0.19932935 -0.011497   -0.02467304 -0.02757983  0.01079263  0.1159612
 -0.07517348  0.11572077 -0.1895027  -0.0982882 ]",69919.22,0.3966052631578948,0.0,0.0
29,10,29,1,1e-05,1,0,99.03,168.0448439843206,"[-0.05710223  0.02016748 -0.08371706  0.09283834 -0.02142145  0.04548148
 -0.10351124  0.15797704 -0.22083697 -0.04984207]",69919.22,0.3966052631578948,0.0,0.0
30,10,30,1,1e-05,1,0,99.03,168.465601295552,"[ 0.03447733 -0.04681735 -0.14737181  0.10778552  0.02500542  0.19424933
 -0.06121071  0.04347107 -0.03939527 -0.21204439]",69919.22,0.3966052631578948,0.0,0.0
31,10,31,1,1e-05,1,0,99.03,167.08556011781428,"[ 0.16264585 -0.20908421  0.07777818  0.11432205  0.22633117 -0.05209806
 -0.019827   -0.03691306  0.04377286  0.01891746]",69919.22,0.3966052631578948,0.0,0.0
32,10,32,1,1e-05,1,0,99.03,167.96010730468623,"[ 0.12647685  0.05594771 -0.12839462  0.083414   -0.265683    0.13770595
 -0.14869557  0.05776735 -0.03441912 -0.02337198]",69919.22,0.3966052631578948,0.0,0.0
33,10,33,1,1e-05,1,0,99.03,167.94161936377742,"[ 0.01432814  0.04136485  0.09194601 -0.07201086  0.0922721  -0.0473905
 -0.04150562  0.12982705  0.04549337 -0.03911002]",69919.22,0.3966052631578948,0.0,0.0
34,10,34,1,1e-05,1,0,99.03,166.90994486963598,"[ 0.01048998  0.19715196 -0.06289276  0.16150272  0.11618214  0.09299526
 -0.00580144  0.0079083  -0.05298182  0.06876729]",69919.22,0.3966052631578948,0.0,0.0
35,10,35,1,1e-05,1,0,99.03,167.10956318388884,"[ 0.01779701  0.12201391 -0.06213321 -0.01354832 -0.24869266  0.08543036
  0.09162156  0.09097318  0.20421776 -0.21174923]",69919.22,0.3966052631578948,0.0,0.0
36,10,36,1,1e-05,1,0,99.03,167.73017718928543,"[ 0.01983636 -0.0349878  -0.03189152  0.07080935 -0.24424118  0.21112674
 -0.0176305   0.12323064  0.15837687  0.03258049]",69919.22,0.3966052631578948,0.0,0.0
