,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1,1,0,50.71,130.62841260671365,"[ 0.02584149  0.00165438  0.02473704  0.00980188 -0.02357583 -0.00819818
  0.04104008 -0.02461381 -0.01554199  0.04317888]",39940.605,0.28121052631578947,0.0,0.0
1,10,1,1,1,1,0,50.71,130.2757518495368,"[-0.00732529 -0.0106812   0.03832822 -0.01089984  0.04823871 -0.01735181
 -0.00848929  0.04569627 -0.01295226  0.02535418]",39940.605,0.28121052631578947,0.0,0.0
2,10,2,1,1,1,0,50.71,130.02403364506003,"[-0.02770304  0.01245724  0.0467241  -0.01365943  0.03318873  0.01574579
  0.00688472 -0.00611013 -0.0287916   0.00104025]",39940.605,0.28121052631578947,0.0,0.0
3,10,3,1,1,1,0,50.71,130.52947230146438,"[-0.02470298  0.01390522 -0.06488112 -0.01598875  0.01287265 -0.03271278
  0.02099448  0.01202819  0.01197688  0.00655868]",39940.605,0.28121052631578947,0.0,0.0
4,10,4,1,1,1,0,50.71,129.16866048744518,"[-0.04762075 -0.01243102 -0.01704721  0.01031115 -0.05987724 -0.02392827
  0.01180303 -0.02850141  0.00224545  0.02485585]",39940.605,0.28121052631578947,0.0,0.0
5,10,5,1,1,1,0,50.71,130.16307380980706,"[-0.0167398  -0.04866552 -0.01927569 -0.01010022 -0.01733774 -0.01311981
  0.01202329  0.01148054  0.03931765  0.02160689]",39940.605,0.28121052631578947,0.0,0.0
6,10,6,1,1,1,0,50.71,129.78315890288852,"[ 0.02923893 -0.01697447  0.02504816 -0.00589219 -0.02293933 -0.02780354
 -0.02725613 -0.05772331  0.0564535   0.02900416]",39940.605,0.28121052631578947,0.0,0.0
7,10,7,1,1,1,0,50.71,129.8763182156717,"[ 0.01281695  0.07996599 -0.01874798  0.00258548  0.00946916  0.00194179
  0.00836829  0.02076214 -0.0395573  -0.00199639]",39940.605,0.28121052631578947,0.0,0.0
8,10,8,1,1,1,0,50.71,130.35252508232924,"[ 0.02139362 -0.00736554  0.04817193  0.04463704  0.03296033  0.03794433
 -0.01716053 -0.02121628 -0.00824474  0.00029722]",39940.605,0.28121052631578947,0.0,0.0
9,10,9,1,1,1,0,50.71,129.98358839533574,"[-0.00931416  0.00735363 -0.02085919 -0.02646629 -0.02294448 -0.03179196
 -0.04227497  0.02122341 -0.00238945  0.01608858]",39940.605,0.28121052631578947,0.0,0.0
10,10,10,1,1,1,0,50.71,129.5678433808461,"[-0.0016675  -0.02030875 -0.01421942  0.03027913 -0.02530233 -0.018921
  0.01612335  0.00042364 -0.02804686 -0.00430126]",39940.605,0.28121052631578947,0.0,0.0
11,10,11,1,1,1,0,50.71,129.52479511333658,"[ 0.02938578  0.03255691  0.03308648 -0.04204566 -0.01242562 -0.01048588
  0.01790246 -0.03759013  0.00093957 -0.01686657]",39940.605,0.28121052631578947,0.0,0.0
12,10,12,1,1,1,0,50.71,130.1716675178539,"[ 0.00504759  0.01018255  0.01273192  0.02613376  0.0092104   0.01084344
  0.03610233  0.00081945 -0.0077753  -0.00614024]",39940.605,0.28121052631578947,0.0,0.0
13,10,13,1,1,1,0,50.71,130.3465906679401,"[-0.05039743  0.01066383  0.01813828 -0.02011684 -0.04660575 -0.01071501
 -0.01493894  0.0208146  -0.01101675 -0.0039908 ]",39940.605,0.28121052631578947,0.0,0.0
14,10,14,1,1,1,0,50.71,129.77956881234442,"[ 0.02279592  0.05499886 -0.01345916  0.0345677  -0.01044546  0.02928156
 -0.00476823  0.00177212 -0.01813947  0.05336415]",39940.605,0.28121052631578947,0.0,0.0
15,10,15,1,1,1,0,50.71,129.60560921737311,"[ 0.04257404  0.02868704 -0.01573991 -0.02887437  0.04778612  0.04181453
 -0.02220828 -0.04858368  0.0076958   0.01379376]",39940.605,0.28121052631578947,0.0,0.0
16,10,16,1,1,1,0,50.71,130.8042392343032,"[ 0.01746658  0.00486592  0.05049707 -0.00863281 -0.02540062 -0.00684123
 -0.00199204 -0.01179149 -0.00859012  0.06107767]",39940.605,0.28121052631578947,0.0,0.0
17,10,17,1,1,1,0,50.71,130.32978520844657,"[ 0.02019576  0.00750799 -0.04234955 -0.01826948  0.02294393  0.00598809
  0.00799924 -0.0355409   0.01066572  0.00110292]",39940.605,0.28121052631578947,0.0,0.0
18,10,18,1,1,1,0,50.71,129.93140166142038,"[-0.0090964   0.01214928 -0.01101126 -0.00265396 -0.00977496  0.1064876
  0.00196519 -0.0007372   0.02751034  0.04312991]",39940.605,0.28121052631578947,0.0,0.0
19,10,19,1,1,1,0,50.71,130.10722178320756,"[ 0.02727504 -0.04159606  0.05046502  0.0007544   0.01429231  0.0522972
  0.03305535  0.03110431 -0.06026989  0.04582246]",39940.605,0.28121052631578947,0.0,0.0
20,10,20,1,1,1,0,50.71,130.34605771660705,"[-0.11162043  0.05308247 -0.08480096  0.0243471   0.00120942  0.00980894
  0.02715831 -0.00312854 -0.00113722  0.01858492]",39940.605,0.28121052631578947,0.0,0.0
21,10,21,1,1,1,0,50.71,129.88319568458303,"[ 0.01993923 -0.02857679 -0.00805544  0.03232821 -0.00618404 -0.0014443
 -0.03696128  0.0042128  -0.02421971  0.01873162]",39940.605,0.28121052631578947,0.0,0.0
22,10,22,1,1,1,0,50.71,130.68925921784802,"[-0.00127436  0.00894481 -0.05719515 -0.0027073   0.00930166 -0.01989513
 -0.02758201  0.04788421 -0.03633032  0.07192993]",39940.605,0.28121052631578947,0.0,0.0
23,10,23,1,1,1,0,50.71,130.0035564255732,"[-0.02715871 -0.0003005   0.04916905  0.01981243 -0.00983173 -0.00866323
  0.02462754 -0.04776776  0.00164824  0.04647113]",39940.605,0.28121052631578947,0.0,0.0
24,10,24,1,1,1,0,50.71,130.39587507316838,"[ 4.9552105e-02 -7.1526039e-05 -5.7121355e-02 -3.4417905e-02
 -1.1869849e-02 -2.9016059e-02  1.0086561e-02  2.2486906e-02
 -2.1632176e-02 -3.5536308e-02]",39940.605,0.28121052631578947,0.0,0.0
25,10,25,1,1,1,0,50.71,130.00035583118324,"[ 0.00291225 -0.03470265 -0.00937894 -0.01473807 -0.00764669  0.01240113
 -0.03875531 -0.01029972 -0.00184069 -0.01099888]",39940.605,0.28121052631578947,0.0,0.0
26,10,26,1,1,1,0,50.71,129.85160246355434,"[-0.01621207  0.01150088 -0.02631186 -0.01514877 -0.01950418  0.01317432
 -0.01837963 -0.00279759  0.03425607  0.01171362]",39940.605,0.28121052631578947,0.0,0.0
27,10,27,1,1,1,0,50.71,130.28705947820544,"[ 0.06656146  0.03719972  0.01194342  0.03501293  0.00267258  0.01699888
  0.01186351 -0.00606551 -0.0041059   0.01595978]",39940.605,0.28121052631578947,0.0,0.0
