,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1e-05,1,0,5868.15,15.25370240387388,"[ 0.06905301 -0.00532694  0.01320348  0.01398168  0.00092656 -0.10258107
  0.10376174  0.0163201  -0.05031529  0.01032547]",0.44567442,0.3616315789473684,0.0,0.0
1,10,1,1,1e-05,1,0,5868.15,15.17305705992228,"[ 0.07360494 -0.04641372 -0.08738109 -0.08279883  0.00734984 -0.15795451
  0.1181779   0.00911826 -0.13466996  0.03813263]",0.44567442,0.3616315789473684,0.0,0.0
2,10,2,1,1e-05,1,0,5868.15,15.366329563665426,"[-0.06071158  0.05345795  0.01072381 -0.05662562 -0.00637889 -0.04393004
  0.07259288 -0.00976016 -0.02299315 -0.02837208]",0.44567442,0.3616315789473684,0.0,0.0
3,10,3,1,1e-05,1,0,5868.15,15.307464890438077,"[ 0.03817696  0.04627382  0.12861128  0.01740609 -0.03909794 -0.052142
 -0.02085079  0.03955468 -0.0262643   0.03674806]",0.44567442,0.3616315789473684,0.0,0.0
4,10,4,1,1e-05,1,0,5868.15,15.315772197117068,"[ 0.02311508  0.02434442  0.06282669 -0.04440942  0.027598   -0.03047435
 -0.10051402 -0.0105055  -0.01279328  0.02114519]",0.44567442,0.3616315789473684,0.0,0.0
5,10,5,1,1e-05,1,0,5868.15,15.513490350459723,"[ 0.02783147  0.04247543  0.05434092  0.04657817 -0.05983344 -0.03557437
 -0.06952016  0.17322889 -0.08446285 -0.08433013]",0.44567442,0.3616315789473684,0.0,0.0
6,10,6,1,1e-05,1,0,5868.15,15.202210581382227,"[-0.07859369 -0.04549618 -0.00299539 -0.06379628 -0.03067381 -0.06432056
  0.03197936 -0.02657778 -0.05247525 -0.07626672]",0.44567442,0.3616315789473684,0.0,0.0
7,10,7,1,1e-05,1,0,5868.15,15.09537623221115,"[-0.0429753  -0.01199188 -0.05544207  0.06559286 -0.02168309  0.02898885
  0.05040599  0.02002396 -0.0342079  -0.11510351]",0.44567442,0.3616315789473684,0.0,0.0
8,10,8,1,1e-05,1,0,5868.15,15.210919030552578,"[ 0.01710568  0.04263711  0.0743034   0.0644315  -0.0138473  -0.01984986
  0.04019511 -0.06610923 -0.10734946  0.03203218]",0.44567442,0.3616315789473684,0.0,0.0
9,10,9,1,1e-05,1,0,5868.15,15.280483495235725,"[-0.06370464  0.07974926 -0.02883027 -0.06580643 -0.00610607  0.02170378
  0.02182822 -0.03628132 -0.13933781 -0.14770916]",0.44567442,0.3616315789473684,0.0,0.0
10,10,10,1,1e-05,1,0,5868.15,15.199100376986863,"[ 0.01147068 -0.03406066  0.02004889  0.02834856  0.09119919 -0.0024724
  0.07966169 -0.00152801 -0.08610988 -0.05398083]",0.44567442,0.3616315789473684,0.0,0.0
11,10,11,1,1e-05,1,0,5868.15,15.298698945046146,"[ 0.04838109 -0.17563157 -0.05301933 -0.03219498  0.00534188 -0.09346972
  0.03088562  0.08222258 -0.12820919 -0.07457466]",0.44567442,0.3616315789473684,0.0,0.0
12,10,12,1,1e-05,1,0,5868.15,15.600827312150535,"[-0.0136863   0.06167836 -0.0553412   0.04118371 -0.02750208  0.09294398
  0.06294657  0.0646814  -0.02712024 -0.03514025]",0.44567442,0.3616315789473684,0.0,0.0
13,10,13,1,1e-05,1,0,5868.15,15.3810735032253,"[-0.03094556 -0.04424602 -0.03177002 -0.01569788  0.07448499  0.04212439
  0.03558861  0.05872782 -0.15158127 -0.07695912]",0.44567442,0.3616315789473684,0.0,0.0
14,10,14,1,1e-05,1,0,5868.15,15.271604796411523,"[ 0.12099075 -0.02621339 -0.02890456  0.0506931  -0.09731007 -0.04363923
  0.03719874 -0.05107371 -0.00485102 -0.05018658]",0.44567442,0.3616315789473684,0.0,0.0
15,10,15,1,1e-05,1,0,5868.15,15.492310525396686,"[ 0.02301583  0.0554479  -0.15462366 -0.08935164 -0.08561671  0.01651105
 -0.0069062  -0.18493298 -0.04338061 -0.18002857]",0.44567442,0.3616315789473684,0.0,0.0
16,10,16,1,1e-05,1,0,5868.15,14.895582574691774,"[ 0.11452395  0.00998534 -0.02825326 -0.03023178 -0.00358943  0.00759835
  0.10361882  0.01599703 -0.12346846  0.05693832]",0.44567442,0.3616315789473684,0.0,0.0
17,10,17,1,1e-05,1,0,5868.15,15.755164612714568,"[ 0.02634228 -0.02153408  0.03713285 -0.07668076 -0.0262665  -0.09354175
 -0.08619931 -0.00656489 -0.06956469  0.05053848]",0.44567442,0.3616315789473684,0.0,0.0
18,10,18,1,1e-05,1,0,5868.15,15.365672138337022,"[-0.00343301 -0.0221834   0.02508815  0.0487538  -0.07023896 -0.03137615
  0.05035246 -0.03046191 -0.1372377  -0.00698543]",0.44567442,0.3616315789473684,0.0,0.0
19,10,19,1,1e-05,1,0,5868.15,15.506914365037868,"[-0.03698022 -0.02866398  0.01646789 -0.04272472 -0.166242    0.10005862
  0.14256549  0.04382446  0.0494616  -0.07902199]",0.44567442,0.3616315789473684,0.0,0.0
20,10,20,1,1e-05,1,0,5868.15,15.743331945699868,"[-0.11578781  0.06061177  0.02237867 -0.07584913 -0.0784546  -0.00043916
 -0.05591105 -0.11515853 -0.10649375 -0.00766539]",0.44567442,0.3616315789473684,0.0,0.0
