,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1,1,0,53.46,127.19245815363423,"[ 0.21644616  0.0295296   0.06614158  0.18396226  0.09273884 -0.04046618
  0.04212964 -0.01457129 -0.02448708  0.04880252]",1108.6194,0.30181578947368415,0.0,0.0
1,10,1,1,1,1,0,53.46,125.69850627879228,"[ 0.00116605  0.08855963  0.05285361 -0.01230943  0.01781069  0.02590144
  0.07591706 -0.06121939 -0.00772077 -0.04851514]",1108.6194,0.30181578947368415,0.0,0.0
2,10,2,1,1,1,0,53.46,126.2674066752391,"[-0.24691136  0.05356666  0.07380895 -0.07455521  0.2253181  -0.09970956
 -0.00433312  0.01369906  0.1580911   0.10762011]",1108.6194,0.30181578947368415,0.0,0.0
3,10,3,1,1,1,0,53.46,126.8387206732846,"[-0.02988221  0.04417945 -0.04419766 -0.16908328 -0.05210765  0.00203301
  0.08909037  0.09485607  0.00284777 -0.03323949]",1108.6194,0.30181578947368415,0.0,0.0
4,10,4,1,1,1,0,53.46,126.00413663279026,"[-0.06090547 -0.10853386 -0.12610888  0.15123764 -0.01184053  0.0281024
 -0.11540464  0.06774938 -0.10917209 -0.00293433]",1108.6194,0.30181578947368415,0.0,0.0
5,10,5,1,1,1,0,53.46,126.50625080428011,"[-0.05157917  0.0176196  -0.02907316 -0.08610473  0.06647958 -0.01715068
 -0.02361883  0.0180579  -0.03036982 -0.03119396]",1108.6194,0.30181578947368415,0.0,0.0
6,10,6,1,1,1,0,53.46,126.41153212174072,"[-0.08070783 -0.05418324 -0.05634084 -0.15266111 -0.02173436 -0.09293446
 -0.13567886  0.00834095 -0.06125889  0.04535976]",1108.6194,0.30181578947368415,0.0,0.0
7,10,7,1,1,1,0,53.46,126.56601524985128,"[ 0.05240781  0.0120779   0.0763175  -0.10704875  0.02895989 -0.028078
 -0.08894987 -0.04138369 -0.00511663 -0.03932141]",1108.6194,0.30181578947368415,0.0,0.0
8,10,8,1,1,1,0,53.46,126.80879040090629,"[-0.09738187  0.04624632  0.01566056 -0.14771937  0.11497478  0.1262512
  0.07973877 -0.01433603 -0.04192756  0.08087589]",1108.6194,0.30181578947368415,0.0,0.0
9,10,9,1,1,1,0,53.46,127.0947649272048,"[-0.01208495  0.08454558  0.02252434  0.06639373  0.03184782  0.07685963
 -0.04234117  0.14898199  0.02423792  0.01575383]",1108.6194,0.30181578947368415,0.0,0.0
10,10,10,1,1,1,0,53.46,127.28705347298418,"[ 0.11512482 -0.11343222 -0.07831535  0.10188451 -0.10403444  0.15285362
 -0.05295567 -0.05550566  0.15088502  0.05675759]",1108.6194,0.30181578947368415,0.0,0.0
11,10,11,1,1,1,0,53.46,126.45788096724623,"[ 0.15871185  0.12080531 -0.0627092   0.0978619  -0.02832197  0.07227764
  0.03675804 -0.02129669  0.10877254  0.11207654]",1108.6194,0.30181578947368415,0.0,0.0
12,10,12,1,1,1,0,53.46,126.43981547399206,"[ 0.07632623 -0.06556556  0.07330815  0.08200194 -0.04506214  0.00260754
 -0.0210702   0.11563031  0.04376952 -0.02018065]",1108.6194,0.30181578947368415,0.0,0.0
13,10,13,1,1,1,0,53.46,126.47778232661605,"[-0.09196034  0.03759825 -0.03652219 -0.01081365 -0.03233339  0.002407
  0.04485511 -0.00684239  0.04761594 -0.07660241]",1108.6194,0.30181578947368415,0.0,0.0
14,10,14,1,1,1,0,53.46,127.04982869249653,"[-0.13174783  0.03097108  0.02637317  0.02467512  0.14054471  0.09099837
 -0.05194888  0.07295197 -0.07288676 -0.00951717]",1108.6194,0.30181578947368415,0.0,0.0
15,10,15,1,1,1,0,53.46,126.8119371036027,"[-0.04968452  0.12721133 -0.09487656 -0.07334624  0.02144452 -0.07649732
  0.07934302 -0.10077537 -0.06275037 -0.06727071]",1108.6194,0.30181578947368415,0.0,0.0
16,10,16,1,1,1,0,53.46,126.74057581827529,"[-0.0425666   0.14529374  0.08262951  0.03400348 -0.09113372  0.05285504
 -0.08966389 -0.16031444  0.0852461   0.02707888]",1108.6194,0.30181578947368415,0.0,0.0
17,10,17,1,1,1,0,53.46,126.89243470707478,"[ 0.08979405 -0.01325192  0.0542135  -0.07643744 -0.07505441  0.02618004
 -0.07692768 -0.01507904 -0.10067002 -0.01420678]",1108.6194,0.30181578947368415,0.0,0.0
18,10,18,1,1,1,0,53.46,126.9699280362295,"[-0.05475783 -0.06494747 -0.05048236 -0.1493741   0.07064139 -0.06774682
 -0.09843054 -0.01207329 -0.05484887  0.12831959]",1108.6194,0.30181578947368415,0.0,0.0
19,10,19,1,1,1,0,53.46,126.45252021057333,"[-0.09035117 -0.008411    0.01585802 -0.08345805 -0.01304837  0.02885266
  0.06436738  0.10529642  0.15739022  0.10042153]",1108.6194,0.30181578947368415,0.0,0.0
20,10,20,1,1,1,0,53.46,126.47020400555039,"[-0.03590626 -0.01291354  0.11817278 -0.01053547  0.04364327 -0.108932
  0.00446574 -0.06543392  0.05058113 -0.03807298]",1108.6194,0.30181578947368415,0.0,0.0
21,10,21,1,1,1,0,53.46,125.96144465844603,"[ 0.08716445  0.02818154  0.0517529  -0.06395718 -0.02322052 -0.11805275
 -0.03204206  0.02968611  0.14665067 -0.04280565]",1108.6194,0.30181578947368415,0.0,0.0
22,10,22,1,1,1,0,53.46,127.5248098982737,"[-0.00897232 -0.04402736 -0.02502989  0.01078322 -0.08158767  0.00510857
  0.03600514  0.00141114 -0.0322273  -0.01299111]",1108.6194,0.30181578947368415,0.0,0.0
23,10,23,1,1,1,0,53.46,126.89119665688568,"[-0.02662689 -0.06267886 -0.03222265  0.11689974 -0.11474131  0.05248025
  0.10296661 -0.1519967   0.02584035  0.06497788]",1108.6194,0.30181578947368415,0.0,0.0
24,10,24,1,1,1,0,53.46,126.46022819941102,"[-0.05237837  0.00737013  0.03609426 -0.02389254 -0.01559872 -0.12979046
  0.10104703  0.05544589 -0.11055632 -0.16480958]",1108.6194,0.30181578947368415,0.0,0.0
25,10,25,1,1,1,0,53.46,126.38205712152849,"[ 0.03089674 -0.0205776   0.04666874 -0.02375117  0.06055275  0.06754451
 -0.06989065 -0.10702246 -0.05361619  0.08340871]",1108.6194,0.30181578947368415,0.0,0.0
26,10,26,1,1,1,0,53.46,126.12548390871842,"[-0.14972036 -0.04248319 -0.05467377 -0.02059394 -0.1627651  -0.00360111
  0.00943628  0.03154031  0.00512704  0.03295284]",1108.6194,0.30181578947368415,0.0,0.0
27,10,27,1,1,1,0,53.46,125.96717960687579,"[ 0.03445729 -0.136846    0.18914452  0.0588409  -0.04897438 -0.0152767
  0.01947896 -0.01093342 -0.12843579  0.15782645]",1108.6194,0.30181578947368415,0.0,0.0
