,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1e-05,1,0,25.0,20.775164050822326,"[-0.24969335  0.26281273 -0.31808805  0.22441044  0.08727093  0.08666295
 -0.07435966  0.26250374 -0.25918794 -0.21370476]",0.87919295,0.40473684210526323,0.0,0.0
1,10,1,1,1e-05,1,0,25.0,20.952866235725644,"[-0.13912821 -0.25300458 -0.18992263  0.32911533  0.291874   -0.25473207
  0.20650032  0.35122982 -0.0295574   0.25090495]",0.87919295,0.40473684210526323,0.0,0.0
2,10,2,1,1e-05,1,0,25.0,20.980732719667955,"[-0.31297475  0.01926716 -0.01127229 -0.24795547  0.23586795 -0.20423827
  0.19831908 -0.28945878  0.26267564 -0.28758705]",0.87919295,0.40473684210526323,0.0,0.0
3,10,3,1,1e-05,1,0,25.0,21.049452877432923,"[-0.12954104 -0.34009016  0.2520254  -0.24602428 -0.01895351 -0.23427364
  0.16415963  0.20527254  0.24623773  0.21023181]",0.87919295,0.40473684210526323,0.0,0.0
4,10,4,1,1e-05,1,0,25.0,21.054022074846824,"[ 0.2374151  -0.17934155  0.18871407 -0.32264188 -0.28595078 -0.16880462
  0.2818943  -0.04331838  0.18148133  0.16615602]",0.87919295,0.40473684210526323,0.0,0.0
5,10,5,1,1e-05,1,0,25.0,21.093973909558933,"[ 0.09221059  0.0649508  -0.296312    0.19657281  0.2728318  -0.22433564
 -0.3057452  -0.07139988  0.228738    0.12745883]",0.87919295,0.40473684210526323,0.0,0.0
6,10,6,1,1e-05,1,0,25.0,20.9652823757376,"[ 0.21149576 -0.17578544  0.239824   -0.07748267 -0.3434176   0.03006618
  0.20403033 -0.12751146  0.21883667  0.377334  ]",0.87919295,0.40473684210526323,0.0,0.0
7,10,7,1,1e-05,1,0,25.0,20.810253913159432,"[-0.11004452  0.1855073   0.26880127  0.3032323  -0.12674873  0.30316818
 -0.31643844  0.3122343  -0.22549848 -0.02618625]",0.87919295,0.40473684210526323,0.0,0.0
8,10,8,1,1e-05,1,0,25.0,20.932044257301985,"[-0.17133607 -0.15200652  0.18092485  0.1406802   0.14098404  0.09972832
 -0.25404584 -0.15334383  0.01164165  0.26907966]",0.87919295,0.40473684210526323,0.0,0.0
9,10,9,1,1e-05,1,0,25.0,21.024232784637917,"[-0.2616789   0.27247143  0.25682545 -0.29501194 -0.28191024 -0.249702
  0.15885347 -0.202314    0.23662657  0.32177007]",0.87919295,0.40473684210526323,0.0,0.0
10,10,10,1,1e-05,1,0,25.0,20.8499291605449,"[-0.23992401 -0.20785055  0.21914226 -0.04243143  0.18511179 -0.23981372
  0.0848532   0.26786527 -0.30952272 -0.24223912]",0.87919295,0.40473684210526323,0.0,0.0
11,10,11,1,1e-05,1,0,25.0,21.002883054060934,"[ 0.20381814  0.28912574 -0.23185158  0.22464615 -0.27999848  0.22010148
  0.15765268 -0.01093292  0.2943973   0.26788396]",0.87919295,0.40473684210526323,0.0,0.0
12,10,12,1,1e-05,1,0,25.0,20.891160623618614,"[ 0.1487681  -0.28309622  0.01210087 -0.0023901  -0.27916825  0.24714458
  0.18459898  0.3347988  -0.2232768   0.17162843]",0.87919295,0.40473684210526323,0.0,0.0
13,10,13,1,1e-05,1,0,25.0,20.956251906634698,"[ 0.04813302  0.26455525 -0.2664866   0.16296989 -0.27228874 -0.04709004
 -0.13661595  0.27154988  0.25631595 -0.27980602]",0.87919295,0.40473684210526323,0.0,0.0
14,10,14,1,1e-05,1,0,25.0,21.14073176400767,"[ 0.25052732  0.22247466 -0.257585   -0.26599264  0.16869506  0.23480901
  0.26977643  0.3374675   0.07848503 -0.22657016]",0.87919295,0.40473684210526323,0.0,0.0
15,10,15,1,1e-05,1,0,25.0,20.925406737919456,"[ 0.23151791  0.23542193 -0.16767715 -0.01468602  0.3144741  -0.07653944
 -0.16835554 -0.17855904  0.27934211  0.10150835]",0.87919295,0.40473684210526323,0.0,0.0
16,10,16,1,1e-05,1,0,25.0,21.04892585740518,"[-0.2702651  -0.1869084  -0.2836344   0.13648686 -0.29165787  0.24639559
 -0.20535272 -0.12395537 -0.25931755 -0.22247906]",0.87919295,0.40473684210526323,0.0,0.0
17,10,17,1,1e-05,1,0,25.0,21.011915893538568,"[-0.1513092  -0.24595107  0.2794343   0.09286191  0.10979891 -0.26701975
 -0.19157973 -0.32326955  0.27160925  0.35886323]",0.87919295,0.40473684210526323,0.0,0.0
18,10,18,1,1e-05,1,0,25.0,20.898185848995926,"[-0.25989854 -0.24145746 -0.10847571  0.19741297 -0.14767516  0.00330891
  0.24097571 -0.28890237 -0.10652639  0.3309328 ]",0.87919295,0.40473684210526323,0.0,0.0
19,10,19,1,1e-05,1,0,25.0,20.900397732552516,"[ 0.28966135 -0.2753213  -0.13634524  0.26422802  0.22245076  0.05871085
 -0.20542537 -0.06072261  0.08997758  0.20883045]",0.87919295,0.40473684210526323,0.0,0.0
