,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,1,0,1,1,1,0,19.21,9.744622871037146,"[ 0.00942001 -0.00436312  0.20424667 -0.04914157 -0.0971293   0.14165315
  0.04587837 -0.05063976  0.07954814 -0.0504116 ]",0.63270676,0.34897368421052627,0.0,0.0
1,1,1,1,1,1,0,19.21,10.270172735983357,"[-0.02762901 -0.08071645 -0.04345915 -0.02718537 -0.03610632 -0.10590266
  0.04407163  0.0670661  -0.00231508  0.09677276]",0.63270676,0.34897368421052627,0.0,0.0
2,1,2,1,1,1,0,19.21,10.190088063639392,"[-0.08203859 -0.04570048 -0.09848852  0.04727352 -0.00284836  0.01840557
 -0.066963    0.05584323 -0.01567805  0.01795239]",0.63270676,0.34897368421052627,0.0,0.0
3,1,3,1,1,1,0,19.21,9.779136427240106,"[ 0.0500185   0.0148514  -0.05462743 -0.01598666  0.01055859  0.01567933
  0.07356158  0.0432064  -0.04948016  0.01350413]",0.63270676,0.34897368421052627,0.0,0.0
4,1,4,1,1,1,0,19.21,9.837288602563433,"[-0.0216886  -0.02498146  0.0576751   0.15478975 -0.06619494  0.08865672
  0.04407288  0.06968579 -0.02333227 -0.12549452]",0.63270676,0.34897368421052627,0.0,0.0
5,1,5,1,1,1,0,19.21,10.019372987363434,"[ 0.02535206  0.03048261 -0.14532629 -0.02889097 -0.10989007  0.06961944
  0.00677889  0.1004142   0.09452411  0.02197289]",0.63270676,0.34897368421052627,0.0,0.0
6,1,6,1,1,1,0,19.21,10.027389394173468,"[-0.0520336  -0.06054752 -0.02359026  0.00673253  0.03444653  0.02148937
  0.05691177 -0.07749099 -0.15707049  0.00560865]",0.63270676,0.34897368421052627,0.0,0.0
7,1,7,1,1,1,0,19.21,9.936842776269568,"[-0.08623162  0.09527867  0.09994864 -0.10664672  0.02237612 -0.07045026
 -0.00389911  0.05718459 -0.05500793  0.03049184]",0.63270676,0.34897368421052627,0.0,0.0
8,1,8,1,1,1,0,19.21,9.902576234192335,"[ 0.08136481 -0.00421855 -0.06127013  0.00011509  0.05393557 -0.06285906
  0.01307638  0.08467418  0.05183437  0.01965682]",0.63270676,0.34897368421052627,0.0,0.0
9,1,9,1,1,1,0,19.21,10.114725126324565,"[ 0.106266   -0.0354724  -0.02535458 -0.00844783  0.02949448  0.05523447
  0.11501003 -0.00981744 -0.03607063 -0.08637374]",0.63270676,0.34897368421052627,0.0,0.0
10,1,10,1,1,1,0,19.21,10.03888667722082,"[ 0.12919092 -0.05694688 -0.0474111   0.04702168  0.03286475  0.09542948
  0.02873624  0.08752877  0.01786599  0.03760036]",0.63270676,0.34897368421052627,0.0,0.0
11,1,11,1,1,1,0,19.21,9.883408919673807,"[-0.00627819 -0.05620922 -0.03104046 -0.08977357 -0.10115373 -0.01032293
  0.07788575  0.06508683  0.04929721 -0.03437741]",0.63270676,0.34897368421052627,0.0,0.0
12,1,12,1,1,1,0,19.21,10.066179688744011,"[-0.05437237 -0.06211326 -0.01326129 -0.1629529  -0.08852775  0.00487402
  0.08876116 -0.10398375 -0.00098594 -0.04016585]",0.63270676,0.34897368421052627,0.0,0.0
13,1,13,1,1,1,0,19.21,9.968896269172967,"[-0.00194459 -0.07203282  0.00279369 -0.0544005   0.1175458   0.08098584
  0.13480109 -0.01475242  0.0676766   0.10908407]",0.63270676,0.34897368421052627,0.0,0.0
14,1,14,1,1,1,0,19.21,10.094175865849376,"[-0.05701978 -0.00470869 -0.09870899 -0.0595425  -0.0943028  -0.01660689
 -0.00676979  0.04435458 -0.0489721  -0.0742424 ]",0.63270676,0.34897368421052627,0.0,0.0
15,1,15,1,1,1,0,19.21,10.080520872395143,"[ 0.11101647  0.09462009 -0.06067013  0.13606855  0.01956999 -0.0189359
  0.1210025  -0.05479549 -0.05145647  0.07599489]",0.63270676,0.34897368421052627,0.0,0.0
16,1,16,1,1,1,0,19.21,10.04979477494748,"[-0.05150206 -0.01428635  0.02322905  0.00980822 -0.01185582 -0.05598799
  0.04189055 -0.04941762 -0.02118446 -0.05505894]",0.63270676,0.34897368421052627,0.0,0.0
17,1,17,1,1,1,0,19.21,10.134161486253484,"[ 0.07465313 -0.05115743 -0.00019419 -0.10549127  0.08423913 -0.02918457
  0.01795291 -0.01919656  0.04006539 -0.01459503]",0.63270676,0.34897368421052627,0.0,0.0
18,1,18,1,1,1,0,19.21,10.020413038612851,"[ 0.10480441  0.03226376 -0.02914117 -0.00274089 -0.00623209  0.03121167
  0.04039568  0.05699013 -0.0757757  -0.10324848]",0.63270676,0.34897368421052627,0.0,0.0
19,1,19,1,1,1,0,19.21,10.143407078869284,"[-0.07336745  0.13354656  0.02806963 -0.02656062 -0.06718405 -0.01486617
  0.04439505 -0.00344736  0.12404425  0.06135289]",0.63270676,0.34897368421052627,0.0,0.0
20,1,20,1,1,1,0,19.21,10.073597284169121,"[-1.4770627e-02 -4.0237268e-05  8.0076039e-02 -7.8978471e-02
 -2.0157438e-02  4.3600388e-02  1.0625030e-01 -1.8038508e-02
  3.1540938e-02  1.0488525e-01]",0.63270676,0.34897368421052627,0.0,0.0
21,1,21,1,1,1,0,19.21,10.202865389443906,"[-0.134195   -0.08770686  0.01085021  0.03075802  0.00937256  0.04208811
 -0.06687728  0.05571062 -0.05614188 -0.04637909]",0.63270676,0.34897368421052627,0.0,0.0
22,1,22,1,1,1,0,19.21,9.892908538632538,"[-0.06645375 -0.08298981  0.00104645  0.03255836  0.0742045  -0.03676396
  0.08264801  0.02331429  0.09314953  0.12061118]",0.63270676,0.34897368421052627,0.0,0.0
23,1,23,1,1,1,0,19.21,10.114764816888492,"[-0.10311742 -0.14666295 -0.05636339 -0.07208914 -0.11156306  0.07237607
 -0.03878951 -0.05307937  0.04467586 -0.12057389]",0.63270676,0.34897368421052627,0.0,0.0
24,1,24,1,1,1,0,19.21,10.040823419924925,"[-0.00961148  0.03305718  0.09136426 -0.13393365  0.06010665 -0.04650947
 -0.02339236 -0.03226151  0.00997991 -0.00415995]",0.63270676,0.34897368421052627,0.0,0.0
25,1,25,1,1,1,0,19.21,9.9769751048542,"[ 0.14036293  0.09095117 -0.02652965  0.06608392  0.10385937  0.04137899
 -0.07529775  0.09190341  0.0846132   0.01486851]",0.63270676,0.34897368421052627,0.0,0.0
26,1,26,1,1,1,0,19.21,10.322922227870185,"[-0.05684169  0.03166497 -0.01287466  0.00934286  0.00652122 -0.05646791
  0.12103472  0.14588544  0.04125641 -0.0434273 ]",0.63270676,0.34897368421052627,0.0,0.0
27,1,27,1,1,1,0,19.21,10.083814113205326,"[ 0.05200334  0.06654703  0.04391978  0.01506996  0.17959124 -0.15210775
  0.03154869 -0.04464074  0.06702912 -0.05238146]",0.63270676,0.34897368421052627,0.0,0.0
28,1,28,1,1,1,0,19.21,10.099235780465381,"[ 0.11696576 -0.12831184 -0.00275563 -0.03943489  0.03873949  0.05296969
 -0.06738456 -0.02485012 -0.06945498  0.06929097]",0.63270676,0.34897368421052627,0.0,0.0
29,1,29,1,1,1,0,19.21,9.983073732033356,"[-0.10308844 -0.07253581 -0.21868065  0.0059343   0.04251598 -0.02319689
  0.05296478 -0.02667268  0.05143264  0.04608833]",0.63270676,0.34897368421052627,0.0,0.0
30,1,30,1,1,1,0,19.21,10.099389657352791,"[-0.01946662  0.2484039   0.10469551  0.05286878 -0.07130294  0.04729276
  0.09497663 -0.0687102  -0.00853963  0.12481014]",0.63270676,0.34897368421052627,0.0,0.0
31,1,31,1,1,1,0,19.21,9.886664905776666,"[ 0.06033851  0.0329434   0.10203175  0.06920345 -0.01450729 -0.01329255
  0.19681334  0.00585004 -0.02384309  0.02814968]",0.63270676,0.34897368421052627,0.0,0.0
32,1,32,1,1,1,0,19.21,10.11196646735932,"[ 0.01775671 -0.05013945 -0.00979069  0.08277389 -0.05924501 -0.07125841
  0.11335052 -0.04986955  0.05630118  0.00684735]",0.63270676,0.34897368421052627,0.0,0.0
33,1,33,1,1,1,0,19.21,10.008239609356329,"[ 0.04973494 -0.06938551 -0.11147514  0.06709446 -0.01967946  0.04778021
  0.08883855  0.01133515 -0.02488745 -0.02595223]",0.63270676,0.34897368421052627,0.0,0.0
34,1,34,1,1,1,0,19.21,10.272296459896587,"[-0.01644433 -0.08164886 -0.00167917 -0.08482562 -0.00453974  0.0419854
 -0.06681754  0.03821535  0.10878301  0.0714756 ]",0.63270676,0.34897368421052627,0.0,0.0
35,1,35,1,1,1,0,19.21,9.947901337392203,"[-0.03743275  0.11468744  0.17220998 -0.00840237 -0.07106004 -0.03375747
  0.04543892  0.07217854  0.00822619  0.01867252]",0.63270676,0.34897368421052627,0.0,0.0
36,1,36,1,1,1,0,19.21,9.949618640140416,"[ 0.02500104 -0.03995083  0.01942883  0.07692167 -0.02690572  0.07438789
  0.08858536 -0.08594968  0.04469734  0.07388078]",0.63270676,0.34897368421052627,0.0,0.0
37,1,37,1,1,1,0,19.21,10.017657347701055,"[-0.12012216 -0.04452615  0.18204415 -0.01232684  0.00400504  0.05418885
 -0.07190279 -0.03049466 -0.11983038 -0.08007985]",0.63270676,0.34897368421052627,0.0,0.0
38,1,38,1,1,1,0,19.21,9.959146108316911,"[-0.09755293  0.08030896 -0.14351308 -0.10120568  0.02548855 -0.01815368
  0.08823678 -0.0717265  -0.11768299  0.04215935]",0.63270676,0.34897368421052627,0.0,0.0
39,1,39,1,1,1,0,19.21,9.951043643025594,"[-0.02604417 -0.02060462  0.0558035   0.06879451 -0.17955357  0.06275029
  0.03811124  0.07096274  0.07168204  0.05169871]",0.63270676,0.34897368421052627,0.0,0.0
40,1,40,1,1,1,0,19.21,10.147287048769162,"[-0.02910144  0.03241473  0.02195363 -0.07113309 -0.05411188 -0.0303371
 -0.00323319 -0.04493203  0.07521637 -0.00915806]",0.63270676,0.34897368421052627,0.0,0.0
41,1,41,1,1,1,0,19.21,9.902264303221846,"[ 0.0234203   0.02757864 -0.02485863 -0.03372855  0.05061018  0.05003044
 -0.0023065   0.04677829  0.03771256 -0.13641198]",0.63270676,0.34897368421052627,0.0,0.0
42,1,42,1,1,1,0,19.21,10.284878738693818,"[ 0.01939633 -0.03042915  0.04384947  0.11627056 -0.03533413 -0.04597062
  0.08632982  0.02663151  0.10167779 -0.0199458 ]",0.63270676,0.34897368421052627,0.0,0.0
43,1,43,1,1,1,0,19.21,9.987414708383204,"[ 0.00590836 -0.09599939  0.06502955 -0.00420372 -0.12966004  0.09080243
 -0.10885201 -0.01766497  0.01848233  0.05009398]",0.63270676,0.34897368421052627,0.0,0.0
44,1,44,1,1,1,0,19.21,9.900081959348473,"[ 0.00987058 -0.01810956 -0.02549982  0.07671374 -0.0297601   0.05147432
 -0.05882408  0.05924292  0.04386307 -0.03121243]",0.63270676,0.34897368421052627,0.0,0.0
45,1,45,1,1,1,0,19.21,9.98490432754425,"[ 0.0590554  -0.01546223  0.09491548 -0.01948761 -0.05970999 -0.00074403
  0.0833168   0.01544878 -0.03243731  0.07428452]",0.63270676,0.34897368421052627,0.0,0.0
46,1,46,1,1,1,0,19.21,10.248875373368149,"[ 0.00459804 -0.0435825   0.04385361 -0.0710666   0.01371772  0.07530008
  0.06494863 -0.04224067  0.06152396  0.01405484]",0.63270676,0.34897368421052627,0.0,0.0
47,1,47,1,1,1,0,19.21,10.301583651070457,"[ 0.10580258 -0.03088134  0.13589798 -0.08313182  0.1496175  -0.05636261
 -0.12095555  0.07903785 -0.01993811 -0.08211042]",0.63270676,0.34897368421052627,0.0,0.0
48,1,48,1,1,1,0,19.21,9.75325476968532,"[-0.09897189 -0.00318965  0.00174466  0.09247922 -0.15056445  0.02296817
 -0.03447445 -0.11810658  0.00614398 -0.12159027]",0.63270676,0.34897368421052627,0.0,0.0
49,1,49,1,1,1,0,19.21,10.03198073016667,"[ 0.0816966  -0.08133743 -0.03310259 -0.04730516  0.09115958 -0.114656
  0.04598822  0.02931264  0.11921419  0.06545091]",0.63270676,0.34897368421052627,0.0,0.0
50,1,50,1,1,1,0,19.21,10.054182528223485,"[ 0.02632069 -0.05780626 -0.0325965  -0.05000672  0.07849671 -0.09095977
  0.0388414   0.02054812 -0.04581004 -0.01703612]",0.63270676,0.34897368421052627,0.0,0.0
51,1,51,1,1,1,0,19.21,9.88981507042759,"[-0.03988437  0.07833549  0.08395201 -0.04986046  0.01633295 -0.0286834
 -0.04555836 -0.22480679 -0.02335388 -0.10796419]",0.63270676,0.34897368421052627,0.0,0.0
52,1,52,1,1,1,0,19.21,10.09819561474107,"[-0.01100006 -0.08367699 -0.00875248 -0.00113967  0.00318489 -0.03771599
 -0.019806   -0.08558208  0.02357601  0.11737669]",0.63270676,0.34897368421052627,0.0,0.0
53,1,53,1,1,1,0,19.21,10.000622504207053,"[-0.06955667 -0.07548916  0.13170078 -0.08258265 -0.03443341  0.00428317
  0.04901909 -0.06720275  0.10726933 -0.06258598]",0.63270676,0.34897368421052627,0.0,0.0
54,1,54,1,1,1,0,19.21,10.094320880658119,"[ 0.0063262   0.06535788 -0.00931429 -0.03834677 -0.03472574 -0.10310134
 -0.03026931  0.02414852  0.11105055 -0.09439902]",0.63270676,0.34897368421052627,0.0,0.0
55,1,55,1,1,1,0,19.21,9.779586537142416,"[-0.14291027 -0.24597068 -0.08409248 -0.09609698 -0.05613804 -0.20539159
 -0.03397444  0.0024544   0.00077418  0.08007754]",0.63270676,0.34897368421052627,0.0,0.0
56,1,56,1,1,1,0,19.21,10.061646328029306,"[-0.0376839   0.01304326  0.12214541 -0.07112861 -0.11441039  0.07639329
 -0.09507211  0.10338823  0.05941666 -0.03889946]",0.63270676,0.34897368421052627,0.0,0.0
57,1,57,1,1,1,0,19.21,10.35402680437037,"[-0.03120426 -0.02003666  0.15999475  0.02023231 -0.05833703 -0.05172388
 -0.03389964  0.12087564  0.0723772  -0.0349975 ]",0.63270676,0.34897368421052627,0.0,0.0
58,1,58,1,1,1,0,19.21,9.853991302496304,"[-0.00300241 -0.03243191  0.02403599 -0.02962309  0.02497093 -0.06958153
  0.04673923  0.06927932 -0.21155547  0.03623361]",0.63270676,0.34897368421052627,0.0,0.0
59,1,59,1,1,1,0,19.21,9.88255698026633,"[-0.04630724 -0.03995831 -0.09465576 -0.03645809 -0.08949497  0.03401602
 -0.0365394  -0.03077124  0.02674124  0.21402124]",0.63270676,0.34897368421052627,0.0,0.0
60,1,60,1,1,1,0,19.21,10.051706770195146,"[-0.03405615 -0.11253679  0.02637191 -0.08088715 -0.02431775 -0.04432287
 -0.05101471 -0.06191185 -0.00887249 -0.01597151]",0.63270676,0.34897368421052627,0.0,0.0
61,1,61,1,1,1,0,19.21,10.113130877838598,"[-0.09550223  0.12615462  0.02500466  0.00445667 -0.00306091  0.13905716
 -0.01029803 -0.06350593 -0.0013736  -0.07478419]",0.63270676,0.34897368421052627,0.0,0.0
62,1,62,1,1,1,0,19.21,9.963221928363895,"[-0.1279459  -0.01383259 -0.01655262  0.00468398 -0.00882099  0.05084309
  0.03259943  0.01909484  0.10781452  0.00743232]",0.63270676,0.34897368421052627,0.0,0.0
63,1,63,1,1,1,0,19.21,9.99133369633944,"[-0.04244303 -0.0209028   0.11978567  0.13629003  0.01558028 -0.00946015
 -0.02924365  0.05403256  0.1836409  -0.0334113 ]",0.63270676,0.34897368421052627,0.0,0.0
64,1,64,1,1,1,0,19.21,10.127207437725383,"[ 0.08675198  0.0359803   0.02709332 -0.13016176  0.01139597  0.06398977
 -0.10766     0.08954464  0.05454138 -0.01902184]",0.63270676,0.34897368421052627,0.0,0.0
65,1,65,1,1,1,0,19.21,10.195236086818214,"[-0.1371162  -0.01906507  0.00930093 -0.15318897 -0.01670196  0.00263748
 -0.06860578 -0.03430175  0.03775771  0.03984536]",0.63270676,0.34897368421052627,0.0,0.0
66,1,66,1,1,1,0,19.21,10.142109403351734,"[-0.00682552  0.08938063  0.12603578  0.01762874 -0.09896036 -0.17256787
  0.02064946  0.00688536  0.06992808 -0.05248534]",0.63270676,0.34897368421052627,0.0,0.0
67,1,67,1,1,1,0,19.21,10.32476135109468,"[ 0.00959671 -0.04868581 -0.05403228 -0.01516053  0.0241502  -0.09592833
 -0.16230428 -0.00239565 -0.0337797  -0.10734013]",0.63270676,0.34897368421052627,0.0,0.0
68,1,68,1,1,1,0,19.21,9.893883782737314,"[ 0.06152583 -0.0004073   0.0145511   0.04440013 -0.08228807 -0.08418997
  0.06102918 -0.03172868  0.01566128 -0.07865556]",0.63270676,0.34897368421052627,0.0,0.0
69,1,69,1,1,1,0,19.21,10.105840333281817,"[ 0.01838883 -0.00398155 -0.12035054  0.0271798  -0.20393962 -0.07121059
 -0.01250445  0.19474418  0.01140851  0.07569285]",0.63270676,0.34897368421052627,0.0,0.0
