,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,1,0,1,1,1,0,31.18,0.8376120318658598,"[ 0.06432416 -0.00484274  0.17542844 -0.00590529  0.01529795  0.17169482
  0.01157708 -0.14875607  0.01643439  0.02125685]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
1,1,1,1,1,1,0,31.18,0.9143558495086384,"[-0.01330937 -0.12803373 -0.12326124 -0.00188704 -0.10540892 -0.08680332
  0.11759475  0.14620402 -0.04186168  0.07071383]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
2,1,2,1,1,1,0,31.18,0.8791910027813054,"[-0.13611913 -0.07104494 -0.17304079  0.0225719   0.11520763  0.05818077
 -0.04327537 -0.0413711   0.0437381  -0.07872637]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
3,1,3,1,1,1,0,31.18,0.9064565699178468,"[ 0.05620158  0.00403979 -0.04350962 -0.02442344  0.04672221  0.06116476
  0.08280724  0.08175005 -0.04885731  0.10318998]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
4,1,4,1,1,1,0,31.18,0.7670034286728461,"[-0.04035757 -0.04837638  0.01991205  0.10348447  0.01759896  0.17695032
 -0.01721585  0.01641502 -0.03170416 -0.1135159 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
5,1,5,1,1,1,0,31.18,0.9072201929554102,"[-0.02131928 -0.0044268  -0.0650088  -0.01999853 -0.02030348  0.05068838
 -0.08693723  0.13438997  0.13234952  0.03271637]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
6,1,6,1,1,1,0,31.18,0.7843235481948454,"[-0.04835894  0.07095402  0.00398507  0.01721863  0.00844452  0.02959378
  0.07511255 -0.02230238 -0.16965243  0.02326988]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
7,1,7,1,1,1,0,31.18,0.8188782369906609,"[-0.10201285  0.11125918  0.0414266  -0.01809414  0.03228674 -0.07836844
 -0.03936982  0.06313304 -0.0270041   0.00545286]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
8,1,8,1,1,1,0,31.18,0.7691170963595082,"[ 0.1576991  -0.005298    0.00133304  0.00806727  0.07450348  0.05795356
 -0.0701708   0.10092162 -0.04100233  0.00394142]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
9,1,9,1,1,1,0,31.18,0.7974210260752725,"[ 0.17746514 -0.01574402 -0.00325886 -0.03826692 -0.02614779  0.15100524
  0.03333406 -0.03281205  0.00689646  0.05792061]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
10,1,10,1,1,1,0,31.18,0.8654268487750496,"[ 0.15251194 -0.02260964 -0.01392742  0.05731834  0.02872874  0.04230672
 -0.05500364  0.14053217 -0.00827734 -0.02748053]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
11,1,11,1,1,1,0,31.18,0.7440416336951412,"[ 0.00026123 -0.03818176 -0.00818931 -0.0462625  -0.20014903 -0.00138395
  0.0743038   0.04222448 -0.00375698 -0.07178459]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
12,1,12,1,1,1,0,31.18,0.7481033450413259,"[-0.02353126 -0.06024732 -0.02026964 -0.2094826  -0.09477326 -0.02474588
  0.0152399  -0.12773779 -0.02825932 -0.00049136]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
13,1,13,1,1,1,0,31.18,0.9374231259950763,"[ 0.03164075 -0.09343185 -0.001689   -0.07962492  0.06182834  0.22352605
  0.12992664  0.04002764  0.0427348   0.10443859]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
14,1,14,1,1,1,0,31.18,0.689462777863808,"[-0.01108736  0.11792845  0.00340397 -0.14191483 -0.07753796 -0.02552706
  0.02334285  0.0518887  -0.05764803 -0.12337142]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
15,1,15,1,1,1,0,31.18,0.8127251252917563,"[ 0.0701528   0.1311698  -0.05479088  0.12271892  0.10558322 -0.02979415
  0.18502778 -0.0644884  -0.06246807  0.02584149]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
16,1,16,1,1,1,0,31.18,0.7969322798004957,"[-0.03831458 -0.06099505 -0.00647036 -0.00517009  0.00419767 -0.00573094
 -0.00204039  0.01671651 -0.1061858  -0.06800011]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
17,1,17,1,1,1,0,31.18,0.9905326246192001,"[ 0.1273894  -0.08924319  0.02500577 -0.07829767  0.12513871 -0.05551993
  0.0648812  -0.12070611  0.05491441 -0.03685191]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
18,1,18,1,1,1,0,31.18,0.820789321802692,"[ 0.1387816   0.05716923  0.01814502 -0.02889082  0.01312518  0.03961553
  0.03403774  0.00644324 -0.09490108 -0.01420021]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
19,1,19,1,1,1,0,31.18,0.7108660044356484,"[-0.01330058  0.04527099 -0.01774621  0.02074243 -0.03791356 -0.01383721
  0.01452985  0.01498059  0.12723473  0.09850426]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
20,1,20,1,1,1,0,31.18,0.8190577011783466,"[ 0.00266693 -0.00415548 -0.00165761 -0.08719514 -0.04264582  0.05621989
  0.09300219 -0.01764719  0.01226     0.09102517]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
21,1,21,1,1,1,0,31.18,0.930128436331221,"[-0.10117047 -0.13909015 -0.00574825  0.04012659 -0.00706105 -0.00658579
 -0.06203543  0.13653764 -0.1195942  -0.01404123]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
22,1,22,1,1,1,0,31.18,1.0072308630809124,"[-0.073916   -0.05355467  0.00568079  0.08995394 -0.00832789 -0.03797914
  0.08061753  0.05737453  0.08918359  0.07857497]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
23,1,23,1,1,1,0,31.18,1.002325250444639,"[-0.06072223 -0.15584168 -0.09231958  0.06801462 -0.14087874  0.06835682
 -0.09836054 -0.00322533 -0.0895182  -0.17424916]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
24,1,24,1,1,1,0,31.18,0.9502330145182524,"[-0.00165826  0.03640445  0.06377912 -0.12171504  0.04230041 -0.03909817
 -0.10334349 -0.01731131 -0.00464989  0.13116108]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
25,1,25,1,1,1,0,31.18,0.7410746993789094,"[ 0.08739247  0.09739728  0.00818477  0.05982085  0.09913372  0.04665722
 -0.0458338   0.17117064  0.08363441  0.02449013]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
26,1,26,1,1,1,0,31.18,0.6887358200285272,"[ 0.01697712 -0.00872293 -0.00254383 -0.10410746 -0.02600212 -0.00104743
  0.09850934  0.22583522  0.0246002   0.0363583 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
27,1,27,1,1,1,0,31.18,0.785304297324026,"[ 0.04470929  0.05374238  0.00103691 -0.00180662  0.12319208 -0.12324624
 -0.00623568 -0.02962118  0.10231984 -0.1017241 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
28,1,28,1,1,1,0,31.18,0.8698970724283493,"[ 0.08307628 -0.13989665  0.03254979  0.05448426  0.00559305  0.02360677
 -0.10530164  0.00863843 -0.09827636  0.10876769]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
29,1,29,1,1,1,0,31.18,1.01940760309304,"[-0.12955639 -0.0727534  -0.14260355  0.04640238  0.09091492  0.02583366
 -0.0676776  -0.00880414  0.01056421  0.02790902]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
30,1,30,1,1,1,0,31.18,1.1122442774259318,"[-0.07652324  0.2080831   0.05529206  0.0810671  -0.08624935  0.16431743
  0.08112177 -0.07171582 -0.07894863  0.11471808]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
31,1,31,1,1,1,0,31.18,0.9462329690969153,"[ 0.02964281  0.03242433  0.08563031  0.11796095  0.01282144  0.00407724
  0.18060122 -0.02935794 -0.03563026  0.0387816 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
32,1,32,1,1,1,0,31.18,0.8871750125554043,"[ 0.03946639 -0.03115944  0.03788888  0.0569669  -0.12757206 -0.03217752
  0.17109248 -0.0314941  -0.01643276  0.01198554]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
33,1,33,1,1,1,0,31.18,0.930037561645463,"[ 0.02550568 -0.0792022  -0.06862776  0.11536765 -0.01882122  0.08596794
  0.07581151 -0.02996564 -0.04573889 -0.02854777]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
34,1,34,1,1,1,0,31.18,0.8119407774628837,"[-0.04016429 -0.09034976 -0.08150087 -0.11818109 -0.05333509  0.05767683
 -0.10057735  0.04719838  0.0333944   0.08075659]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
35,1,35,1,1,1,0,31.18,0.9710235673642355,"[-0.14703113  0.11093578  0.19527529  0.00603413 -0.13083121 -0.01382987
 -0.03505614  0.07178251 -0.04426214  0.01119709]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
36,1,36,1,1,1,0,31.18,1.092656327332497,"[ 0.10361606 -0.00555003 -0.03691207  0.1091513   0.02898879  0.06277251
  0.0333554  -0.16397771 -0.07596517  0.04300187]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
37,1,37,1,1,1,0,31.18,1.0048817021309162,"[-0.1453356  -0.01031652  0.19929129 -0.11276808 -0.01253506  0.09801677
 -0.12598011  0.01015516 -0.07375511 -0.08856257]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
38,1,38,1,1,1,0,31.18,0.9534617877311204,"[-0.04334912  0.1864604  -0.01637448 -0.03778765  0.00473697 -0.00452398
  0.08708045 -0.09612039 -0.09489088  0.01602274]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
39,1,39,1,1,1,0,31.18,0.7794545615104711,"[ 0.07907739 -0.13890521  0.04852502  0.02922492 -0.11239134  0.08140514
 -0.00647625  0.02093789  0.09158123  0.04764599]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
40,1,40,1,1,1,0,31.18,0.8741239921265135,"[-0.08478196  0.09629287 -0.04495202 -0.06247002 -0.03080938 -0.04177193
 -0.08835898 -0.09875403  0.03990534 -0.0229778 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
41,1,41,1,1,1,0,31.18,0.7944583403714915,"[-0.02965285  0.02471257 -0.2002748  -0.08164525  0.02435066  0.05961482
  0.00337528  0.02284358  0.03463751 -0.1317322 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
42,1,42,1,1,1,0,31.18,0.8376850766942162,"[ 0.07159291 -0.0856776  -0.01107378  0.13105191  0.04130574 -0.0689998
  0.02692991  0.06452707  0.07251031 -0.02061161]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
43,1,43,1,1,1,0,31.18,0.8747646652879539,"[ 0.02688437 -0.10176051  0.03998859 -0.04416089 -0.1518816   0.07548635
 -0.18367347  0.05688938 -0.04825024 -0.05721156]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
44,1,44,1,1,1,0,31.18,0.892666102639983,"[-0.02626103 -0.05125035 -0.07900246  0.04046085 -0.00275339  0.06656649
 -0.08857537  0.05500571  0.07266194 -0.02919097]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
45,1,45,1,1,1,0,31.18,0.8147253436152103,"[ 0.0809126  -0.03766178  0.1044274  -0.0009599  -0.03939153 -0.02278058
  0.03902546  0.01826393 -0.10096701  0.05334216]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
46,1,46,1,1,1,0,31.18,0.7958169832079884,"[-0.0891028   0.04916666  0.0781903  -0.12282518  0.07425685  0.12608925
  0.01681018 -0.13533908  0.01492429  0.0284351 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
47,1,47,1,1,1,0,31.18,0.8000032966167637,"[ 0.1376693  -0.06899202  0.12330277 -0.05648433  0.12486638  0.03136056
 -0.09972402  0.16345648 -0.00149164 -0.01119246]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
48,1,48,1,1,1,0,31.18,0.7443463028313169,"[-0.09403747 -0.01201792  0.03042123  0.08796342 -0.00387582  0.05257437
 -0.07975229 -0.10019916  0.08647496 -0.0964596 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
49,1,49,1,1,1,0,31.18,0.894002310988912,"[ 0.08925787 -0.05135078 -0.06677337 -0.1195059   0.082758   -0.03655998
  0.00945072  0.04322826  0.10127939  0.10684195]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
50,1,50,1,1,1,0,31.18,0.7141861624288564,"[ 0.01532228 -0.0230186  -0.07432331 -0.03183636 -0.01173665 -0.05364114
 -0.04284487  0.05792256 -0.07569833 -0.10510175]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
51,1,51,1,1,1,0,31.18,0.8402123160244617,"[-0.01794164  0.05575941  0.10643037 -0.08587103  0.02565641 -0.00646297
 -0.04528368 -0.23695317 -0.02126555 -0.02893115]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
52,1,52,1,1,1,0,31.18,0.8839470490608247,"[ 0.02463851 -0.10424098 -0.02521382  0.00452587  0.00547064 -0.09957109
 -0.14547613  0.03171366 -0.00960226  0.1716249 ]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
53,1,53,1,1,1,0,31.18,0.8410814098086958,"[-0.03274406  0.01309952  0.1454453  -0.09634061 -0.01861927 -0.03377813
  0.01548345 -0.06823653  0.14412251 -0.02680289]",0.23337035,0.0824736842105263,0.09198342,0.18396684527397156
