,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1,1,0,111.48,130.6104625490466,"[ 0.02582256  0.05338053 -0.05686998 -0.05812069 -0.03331253  0.00514887
 -0.01271053 -0.01164874  0.0378077   0.0340479 ]",0.6492857,0.17802631578947364,0.0,0.0
1,10,1,1,1,1,0,111.48,132.57852885884105,"[-0.01355635 -0.05035516  0.02865855  0.02833042  0.03483201 -0.01736871
  0.01605692 -0.02883503 -0.01742508 -0.02369849]",0.6492857,0.17802631578947364,0.0,0.0
2,10,2,1,1,1,0,111.48,132.28058960573566,"[ 0.02173092  0.03691945 -0.06324179 -0.04492985  0.03725344 -0.01557388
 -0.03178433 -0.00554807  0.04618977  0.0344584 ]",0.6492857,0.17802631578947364,0.0,0.0
3,10,3,1,1,1,0,111.48,131.42005788780986,"[ 0.00132074  0.12307972 -0.07795637 -0.06457959 -0.02968214 -0.02348945
 -0.03292427 -0.03069943  0.0414089   0.05228007]",0.6492857,0.17802631578947364,0.0,0.0
4,10,4,1,1,1,0,111.48,131.82590903855328,"[-0.03913595  0.02351703 -0.00284222 -0.01069239  0.0120983   0.02238476
  0.02371212 -0.01860593  0.02813112  0.00272252]",0.6492857,0.17802631578947364,0.0,0.0
5,10,5,1,1,1,0,111.48,131.23836349227346,"[ 0.04011494  0.07293124 -0.08066104 -0.02111164  0.00358001 -0.00014938
 -0.01968084  0.00451289  0.05282433  0.02548048]",0.6492857,0.17802631578947364,0.0,0.0
6,10,6,1,1,1,0,111.48,131.76890954781305,"[-0.04564419 -0.07765505  0.07684008  0.02365624  0.026191    0.00830965
  0.03195462  0.07444742 -0.01763994 -0.03293125]",0.6492857,0.17802631578947364,0.0,0.0
7,10,7,1,1,1,0,111.48,131.19255426090197,"[-0.04941999 -0.05453378  0.05968394  0.04239571  0.01716067 -0.00908407
  0.02377718  0.04192589 -0.01945386 -0.02769681]",0.6492857,0.17802631578947364,0.0,0.0
8,10,8,1,1,1,0,111.48,131.22963274241962,"[ 0.04513307  0.06113433 -0.05291843 -0.00661074 -0.00725611  0.01036444
 -0.02956482 -0.00919674  0.02703505  0.01497129]",0.6492857,0.17802631578947364,0.0,0.0
9,10,9,1,1,1,0,111.48,130.80477597208267,"[-0.01437762 -0.03051981  0.03817759 -0.0105403  -0.01200178  0.01348652
 -0.00784891  0.0089331   0.05557606 -0.01541403]",0.6492857,0.17802631578947364,0.0,0.0
10,10,10,1,1,1,0,111.48,131.78380055568584,"[-0.00971363  0.02251521  0.00357299 -0.00182764  0.00366078 -0.00025927
 -0.01478006 -0.00086623  0.02572914 -0.01211335]",0.6492857,0.17802631578947364,0.0,0.0
11,10,11,1,1,1,0,111.48,131.94141673573174,"[ 0.01747768  0.00305958 -0.042154   -0.0194085  -0.02003758  0.01836186
 -0.00405455 -0.01956438  0.02736937  0.0064568 ]",0.6492857,0.17802631578947364,0.0,0.0
12,10,12,1,1,1,0,111.48,132.37113512456224,"[-0.00128656 -0.03769612  0.02659782 -0.00846618  0.02671744  0.03983152
  0.01686086  0.02334293 -0.03198466 -0.04683993]",0.6492857,0.17802631578947364,0.0,0.0
13,10,13,1,1,1,0,111.48,131.82071278131212,"[-0.02212764 -0.00151762  0.00957079  0.01477894  0.02321029  0.01650187
 -0.0119782   0.02068419 -0.00402596 -0.02237682]",0.6492857,0.17802631578947364,0.0,0.0
14,10,14,1,1,1,0,111.48,131.44812593792216,"[-0.00500885  0.02718654 -0.01061841 -0.04213001  0.0164325   0.01881962
  0.00276863 -0.0195419   0.0223678  -0.01707198]",0.6492857,0.17802631578947364,0.0,0.0
15,10,15,1,1,1,0,111.48,130.90165133212557,"[-0.0155332  -0.03067324  0.06976723 -0.02340837  0.03171138 -0.00038264
  0.00136372  0.01052014  0.01650018 -0.04482199]",0.6492857,0.17802631578947364,0.0,0.0
16,10,16,1,1,1,0,111.48,132.62521077365625,"[-0.05267195 -0.06440063  0.07396555  0.04877901 -0.0016157   0.02161759
 -0.00350735  0.03401819 -0.05728593 -0.05238957]",0.6492857,0.17802631578947364,0.0,0.0
17,10,17,1,1,1,0,111.48,130.95164259463652,"[-0.02010556 -0.07187691  0.03837028  0.02719285  0.0218881   0.00227997
  0.02389187  0.03698557  0.00549646 -0.03445507]",0.6492857,0.17802631578947364,0.0,0.0
18,10,18,1,1,1,0,111.48,130.76580240769002,"[ 0.0093078   0.015398    0.04127459 -0.01143125  0.00069996 -0.00336854
 -0.0321534   0.00660402  0.02013509 -0.0179394 ]",0.6492857,0.17802631578947364,0.0,0.0
19,10,19,1,1,1,0,111.48,131.66246101703342,"[ 0.00620398 -0.0345436   0.0057432   0.03174287  0.02108699  0.01119207
  0.01436689  0.03473586 -0.00275024 -0.02758729]",0.6492857,0.17802631578947364,0.0,0.0
20,10,20,1,1,1,0,111.48,131.19160570818883,"[-0.01086726  0.04454918  0.00109275 -0.06771758  0.02500725  0.00461892
  0.02595097 -0.01878291  0.03276799 -0.02298623]",0.6492857,0.17802631578947364,0.0,0.0
21,10,21,1,1,1,0,111.48,131.10189088722012,"[-0.02644995 -0.03949684  0.04038022  0.0218283   0.00321419 -0.00782543
  0.01256489  0.03260726  0.01016991 -0.01880687]",0.6492857,0.17802631578947364,0.0,0.0
22,10,22,1,1,1,0,111.48,131.6884989975052,"[ 0.02130444  0.12017172 -0.08129637 -0.07505408 -0.01355127 -0.0178623
 -0.03921834 -0.02502341  0.02608687  0.02378114]",0.6492857,0.17802631578947364,0.0,0.0
23,10,23,1,1,1,0,111.48,130.51383153103063,"[-0.04362212 -0.05929628  0.04482043  0.01657312  0.00574437  0.02561721
 -0.00250669  0.01859073 -0.03441018 -0.03619332]",0.6492857,0.17802631578947364,0.0,0.0
