,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,1,0,1,1,1,0,14.78,7.6151084717599264,"[ 0.09783962  0.0894793   0.11972648  0.06004259  0.05235309  0.02134408
  0.01573415 -0.15983307 -0.02262169  0.00214278]",0.5125493,0.3144473684210526,0.0,0.0
1,1,1,1,1,1,0,14.78,7.738876268038512,"[-0.08386526  0.20759729  0.05051527 -0.0434254  -0.05192823  0.03149322
  0.09149314 -0.08387175 -0.01731737 -0.01415757]",0.5125493,0.3144473684210526,0.0,0.0
2,1,2,1,1,1,0,14.78,8.059097710943192,"[-0.13232785  0.05210462 -0.040303   -0.21608374  0.12685063 -0.05936585
 -0.08300243 -0.07579979  0.11043161  0.06293793]",0.5125493,0.3144473684210526,0.0,0.0
3,1,3,1,1,1,0,14.78,7.632922513127854,"[ 0.05841961 -0.00914924 -0.03822672 -0.21550487 -0.11478682  0.11844278
  0.08767229  0.09486051 -0.07061468 -0.06480378]",0.5125493,0.3144473684210526,0.0,0.0
4,1,4,1,1,1,0,14.78,7.819423734546079,"[ 0.0423995  -0.0741802  -0.10538963  0.0924243  -0.03438826  0.04011066
 -0.01575749  0.00027068 -0.11360037 -0.08833381]",0.5125493,0.3144473684210526,0.0,0.0
5,1,5,1,1,1,0,14.78,7.868877138421537,"[-0.01843084 -0.05223937 -0.01631843 -0.13584685  0.1383206   0.0366474
 -0.04576753  0.01550996 -0.13899297 -0.08310251]",0.5125493,0.3144473684210526,0.0,0.0
6,1,6,1,1,1,0,14.78,7.957613896154546,"[-2.5691567e-03 -1.3584435e-01 -4.5769777e-02 -1.8031947e-01
  5.4421718e-05  9.7481340e-02 -1.0300852e-01  2.3016699e-02
 -7.8648381e-02 -2.5939897e-02]",0.5125493,0.3144473684210526,0.0,0.0
7,1,7,1,1,1,0,14.78,7.692760777158967,"[ 0.00474865 -0.11900647  0.09160814 -0.24561006  0.00799472  0.05317144
 -0.0429301  -0.100723   -0.10143295  0.07361974]",0.5125493,0.3144473684210526,0.0,0.0
8,1,8,1,1,1,0,14.78,7.683196718278826,"[-0.08165853 -0.02374011  0.03485998 -0.21835847  0.01560789  0.07608084
 -0.0794946  -0.09203111 -0.0099637   0.03053877]",0.5125493,0.3144473684210526,0.0,0.0
9,1,9,1,1,1,0,14.78,7.886326466016845,"[-0.0057311   0.04991936 -0.08335449 -0.0612627   0.06213963  0.15142378
  0.02850988  0.05110034 -0.07066832  0.07491659]",0.5125493,0.3144473684210526,0.0,0.0
10,1,10,1,1,1,0,14.78,7.8222081457291655,"[ 0.05037671 -0.04336139  0.00748258 -0.07428251 -0.13824505  0.2096428
  0.010556   -0.0260774   0.11627533  0.10367514]",0.5125493,0.3144473684210526,0.0,0.0
11,1,11,1,1,1,0,14.78,7.879446439011134,"[ 0.04486598  0.05436172  0.00902338 -0.0226805   0.07721433  0.2227244
  0.00307194 -0.00625137  0.04645     0.01861506]",0.5125493,0.3144473684210526,0.0,0.0
12,1,12,1,1,1,0,14.78,7.751681061229676,"[ 6.9813281e-02  2.4369013e-02 -2.8320447e-02 -9.2984729e-02
 -3.1372640e-02  1.1070962e-01  5.0662900e-05  7.0304111e-02
 -2.7913485e-02 -6.0323186e-02]",0.5125493,0.3144473684210526,0.0,0.0
13,1,13,1,1,1,0,14.78,7.73791785871534,"[-0.0679941   0.06910916  0.01909273 -0.02463474 -0.12337218  0.07307405
  0.00290989 -0.04355323  0.03945358  0.00210424]",0.5125493,0.3144473684210526,0.0,0.0
14,1,14,1,1,1,0,14.78,7.8415683738299595,"[-0.11429374 -0.06772176  0.1254138  -0.13031003  0.13049236  0.09864008
 -0.08503972  0.03529653 -0.01910796 -0.0261704 ]",0.5125493,0.3144473684210526,0.0,0.0
15,1,15,1,1,1,0,14.78,7.715084436733003,"[-0.05580986 -0.05939358 -0.00970028 -0.11382487 -0.15811738  0.09340148
  0.03044819 -0.05267593 -0.01063633 -0.10675219]",0.5125493,0.3144473684210526,0.0,0.0
16,1,16,1,1,1,0,14.78,7.891678272303671,"[-0.0234788   0.15064359  0.03970388 -0.09408207 -0.07236207  0.0966416
  0.00409482 -0.12602857  0.0758179  -0.01407991]",0.5125493,0.3144473684210526,0.0,0.0
17,1,17,1,1,1,0,14.78,7.813083502846344,"[ 0.06194129 -0.0863862   0.08054002 -0.06438996  0.0475553   0.18359256
 -0.0202355   0.06013934 -0.09577399  0.03942754]",0.5125493,0.3144473684210526,0.0,0.0
18,1,18,1,1,1,0,14.78,8.112049572478547,"[ 0.08302561 -0.0490607  -0.0025299  -0.21723494 -0.03329071 -0.05451716
 -0.05560102 -0.02894039 -0.01484029  0.03157683]",0.5125493,0.3144473684210526,0.0,0.0
19,1,19,1,1,1,0,14.78,7.609391069391046,"[-1.0888028e-01  1.1675308e-01  7.9724472e-05 -2.0226288e-01
  6.3420936e-02  3.8992576e-02  2.9806456e-02  1.8992204e-02
  3.7356716e-02  8.8766575e-02]",0.5125493,0.3144473684210526,0.0,0.0
20,1,20,1,1,1,0,14.78,7.879324642574301,"[-0.1022598  -0.17760623  0.17253718  0.01966488 -0.10027425 -0.10154502
 -0.0542818  -0.08055385  0.01288888  0.03966018]",0.5125493,0.3144473684210526,0.0,0.0
21,1,21,1,1,1,0,14.78,7.896157582009811,"[ 0.08117221  0.03940779  0.00892902 -0.0516471  -0.05185239  0.07163015
  0.09689713  0.0137656   0.00211591 -0.04766523]",0.5125493,0.3144473684210526,0.0,0.0
22,1,22,1,1,1,0,14.78,7.886642807013023,"[-0.04187331 -0.13467905  0.12213402 -0.10380682 -0.12329607  0.14224467
  0.02821931  0.01351713 -0.12823224 -0.06230361]",0.5125493,0.3144473684210526,0.0,0.0
23,1,23,1,1,1,0,14.78,7.742784096953346,"[-0.06590869 -0.0026802  -0.03742736  0.03954729 -0.20176649 -0.01120645
  0.12575871 -0.12006691 -0.00980172 -0.05066502]",0.5125493,0.3144473684210526,0.0,0.0
24,1,24,1,1,1,0,14.78,7.793814974037492,"[ 0.15526764 -0.00200349  0.05957322 -0.08593759 -0.11704735 -0.0125248
  0.03692916 -0.00896182 -0.07394154 -0.13425393]",0.5125493,0.3144473684210526,0.0,0.0
25,1,25,1,1,1,0,14.78,7.722821943553397,"[-0.04019453 -0.04908273 -0.00054243 -0.04964254 -0.01762617  0.02095242
 -0.11392409 -0.02079665 -0.14659095  0.01466273]",0.5125493,0.3144473684210526,0.0,0.0
26,1,26,1,1,1,0,14.78,7.7541913678198995,"[-0.06855594 -0.1273295  -0.00664812  0.03790043 -0.12805295  0.10283649
 -0.01333212  0.12516187 -0.17422521  0.10073601]",0.5125493,0.3144473684210526,0.0,0.0
27,1,27,1,1,1,0,14.78,7.705206345483833,"[-0.2208102  -0.13778085  0.1871689  -0.06303014 -0.06921062  0.07861487
 -0.03223881 -0.09967276 -0.17843702  0.11817645]",0.5125493,0.3144473684210526,0.0,0.0
28,1,28,1,1,1,0,14.78,8.799017860188748,"[ 0.03755821  0.06291343  0.02186564  0.02607268 -0.11758323  0.05379793
 -0.08118987  0.04149033 -0.00787046  0.14070012]",0.5125493,0.3144473684210526,0.0,0.0
29,1,29,1,1,1,0,14.78,7.8959015842945295,"[ 0.01213111 -0.02190566  0.09412619 -0.1973919   0.00138003  0.08975632
  0.0539227   0.03169062 -0.03732057 -0.09105788]",0.5125493,0.3144473684210526,0.0,0.0
30,1,30,1,1,1,0,14.78,7.763078595332898,"[-0.15303032  0.02129606 -0.02605393 -0.07243918 -0.10915554  0.02634589
 -0.07962775 -0.16759135  0.06326843 -0.06372364]",0.5125493,0.3144473684210526,0.0,0.0
31,1,31,1,1,1,0,14.78,7.944172913208798,"[ 0.00987904 -0.03827427 -0.10324572 -0.11106081 -0.09650828  0.10303831
  0.00901741 -0.04270408 -0.05403806 -0.03631366]",0.5125493,0.3144473684210526,0.0,0.0
32,1,32,1,1,1,0,14.78,7.90423855651072,"[-0.02552248 -0.0630376  -0.01962091 -0.1182235  -0.19107798 -0.01711656
  0.02130949  0.10838072 -0.00300886  0.00131349]",0.5125493,0.3144473684210526,0.0,0.0
33,1,33,1,1,1,0,14.78,7.827963775366269,"[ 0.08617145 -0.1891958   0.01999951 -0.07598002 -0.24883227  0.05650227
 -0.23318724  0.08145366 -0.16903931  0.09686196]",0.5125493,0.3144473684210526,0.0,0.0
34,1,34,1,1,1,0,14.78,7.898437174593809,"[ 0.02175127 -0.09018379  0.00884215 -0.28359026 -0.10634412  0.05585741
  0.02979681 -0.03218476  0.05645969  0.01376949]",0.5125493,0.3144473684210526,0.0,0.0
35,1,35,1,1,1,0,14.78,7.629053310366436,"[-0.12162404  0.0244857   0.11077234  0.0406194  -0.0153163   0.07240249
 -0.06296412 -0.02748336 -0.133187    0.02964164]",0.5125493,0.3144473684210526,0.0,0.0
36,1,36,1,1,1,0,14.78,7.5807031785857735,"[ 8.6745359e-02  7.3430620e-02 -7.4841574e-02  9.6923904e-05
 -1.4239484e-01  1.9955359e-02  2.3695353e-02 -2.1614470e-02
 -9.6776951e-03 -6.6592380e-02]",0.5125493,0.3144473684210526,0.0,0.0
37,1,37,1,1,1,0,14.78,7.868240810997575,"[ 0.07316243 -0.0570688   0.03355514  0.03153835 -0.11556816  0.11866421
 -0.06717889 -0.02517    -0.06314592  0.01989749]",0.5125493,0.3144473684210526,0.0,0.0
38,1,38,1,1,1,0,14.78,7.9783919256615095,"[-0.02574672 -0.02858146 -0.01079633 -0.06901152 -0.07838064  0.08113392
 -0.08628464 -0.0356654   0.04039183  0.00734915]",0.5125493,0.3144473684210526,0.0,0.0
39,1,39,1,1,1,0,14.78,7.715581581971552,"[ 0.06888771 -0.01594197  0.08871311 -0.12270966 -0.09841155  0.00898736
  0.0063308  -0.06696752  0.05519662 -0.0022121 ]",0.5125493,0.3144473684210526,0.0,0.0
40,1,40,1,1,1,0,14.78,7.86342937778343,"[-0.06051205 -0.04924581  0.02043345  0.06159628 -0.17744875  0.08589862
  0.10240062 -0.0060484   0.05467596 -0.00499683]",0.5125493,0.3144473684210526,0.0,0.0
41,1,41,1,1,1,0,14.78,7.645514639283085,"[-0.06758343 -0.04876059 -0.04322609 -0.14547504 -0.02048771 -0.02795514
  0.12775932 -0.17147794 -0.14839259  0.02899932]",0.5125493,0.3144473684210526,0.0,0.0
42,1,42,1,1,1,0,14.78,7.776808175638757,"[-0.05595796 -0.04518119 -0.00965094 -0.08879483 -0.05053849  0.04757051
  0.06493922 -0.09579691 -0.10041987  0.0022306 ]",0.5125493,0.3144473684210526,0.0,0.0
43,1,43,1,1,1,0,14.78,7.95987581523669,"[ 0.00120756 -0.25278172 -0.03714763 -0.1394454  -0.13001598  0.18360665
  0.06484623 -0.08124092  0.02262773 -0.0100178 ]",0.5125493,0.3144473684210526,0.0,0.0
44,1,44,1,1,1,0,14.78,7.995726905283777,"[-0.03365918 -0.07840642 -0.00828616 -0.08639716  0.0125574   0.12674883
 -0.17819783 -0.0255918   0.00875855 -0.00731135]",0.5125493,0.3144473684210526,0.0,0.0
45,1,45,1,1,1,0,14.78,7.880693383384421,"[-0.05010927  0.03408571  0.10950403 -0.11352263 -0.05291912  0.14403152
 -0.10261023 -0.21529979 -0.05476835 -0.03588324]",0.5125493,0.3144473684210526,0.0,0.0
46,1,46,1,1,1,0,14.78,7.783850588651451,"[ 0.05079326 -0.03095359 -0.04141862 -0.14621821 -0.12894885  0.2067219
 -0.03212629 -0.06771912 -0.11688851  0.02721137]",0.5125493,0.3144473684210526,0.0,0.0
47,1,47,1,1,1,0,14.78,7.559801302103043,"[-0.02257858 -0.07811546  0.04174276 -0.11450472  0.01291819  0.12381086
  0.05455715  0.02062704  0.05023135  0.00145326]",0.5125493,0.3144473684210526,0.0,0.0
48,1,48,1,1,1,0,14.78,7.578226619279163,"[ 0.1078757   0.03296626 -0.14956868 -0.0551343  -0.03120461 -0.04943506
  0.10387984  0.07307636  0.11620969 -0.05949488]",0.5125493,0.3144473684210526,0.0,0.0
49,1,49,1,1,1,0,14.78,7.858651802556943,"[-0.14970413 -0.04752865  0.0181357  -0.01655364 -0.05130767  0.14602464
 -0.07032545 -0.05332427 -0.16338411 -0.01247808]",0.5125493,0.3144473684210526,0.0,0.0
50,1,50,1,1,1,0,14.78,7.739591265835456,"[-0.00998817 -0.01085111  0.08680511 -0.1795266  -0.08650625  0.05574369
 -0.05497977 -0.09381548 -0.01741407 -0.01486542]",0.5125493,0.3144473684210526,0.0,0.0
51,1,51,1,1,1,0,14.78,7.527036351048487,"[ 0.04208759  0.11881147 -0.13784367 -0.31478208 -0.00813513  0.09585746
  0.04057483  0.00763307 -0.00299196  0.02097432]",0.5125493,0.3144473684210526,0.0,0.0
52,1,52,1,1,1,0,14.78,7.586652842284883,"[ 0.03738228 -0.09890275 -0.07484198  0.00575436 -0.04325067  0.1672041
  0.04537287  0.1398443  -0.25738055  0.09624182]",0.5125493,0.3144473684210526,0.0,0.0
53,1,53,1,1,1,0,14.78,8.153114574115012,"[-0.16300038  0.02513331  0.07093249  0.00366891 -0.10503588 -0.06106398
 -0.19684166  0.01556561  0.05219971  0.02111631]",0.5125493,0.3144473684210526,0.0,0.0
54,1,54,1,1,1,0,14.78,7.896714012057622,"[ 0.03912501 -0.09594935  0.03026862 -0.14387569 -0.13067195  0.10213311
  0.0072611  -0.12654871 -0.04826492  0.02594247]",0.5125493,0.3144473684210526,0.0,0.0
55,1,55,1,1,1,0,14.78,7.705399299411426,"[ 0.01901472 -0.01164416  0.07850963 -0.05438371 -0.13895981  0.22127363
 -0.09221406  0.01543143 -0.1618332   0.04028507]",0.5125493,0.3144473684210526,0.0,0.0
56,1,56,1,1,1,0,14.78,8.002090860541118,"[ 0.20628406 -0.07088651  0.04893272 -0.07982509 -0.1484578   0.10730863
  0.00259691  0.02007905 -0.00537462 -0.01640373]",0.5125493,0.3144473684210526,0.0,0.0
57,1,57,1,1,1,0,14.78,7.703879698294219,"[-0.06265901 -0.11047868 -0.07309855 -0.07908601  0.08039758  0.0286318
  0.00921559 -0.02133463 -0.14251569  0.06831726]",0.5125493,0.3144473684210526,0.0,0.0
58,1,58,1,1,1,0,14.78,7.794842939545575,"[-0.0471823  -0.06990203  0.01933416 -0.17689615 -0.15423043  0.07009752
 -0.05470762  0.10715356  0.0730058  -0.12410253]",0.5125493,0.3144473684210526,0.0,0.0
59,1,59,1,1,1,0,14.78,7.836684440108252,"[-0.06624284  0.01075746 -0.06767298 -0.08723169 -0.05754197  0.15715113
 -0.12465434  0.07082678 -0.13114867 -0.07250164]",0.5125493,0.3144473684210526,0.0,0.0
60,1,60,1,1,1,0,14.78,7.698412833755654,"[-0.05104516 -0.03573062 -0.15255645 -0.12900929 -0.27939424 -0.01482065
  0.09451107 -0.06376995 -0.05898465 -0.07823595]",0.5125493,0.3144473684210526,0.0,0.0
61,1,61,1,1,1,0,14.78,7.70798963805892,"[ 0.01913247 -0.03025566 -0.04136156 -0.0578605  -0.1571524   0.10272615
 -0.00148233  0.03108462  0.0690577  -0.0480061 ]",0.5125493,0.3144473684210526,0.0,0.0
62,1,62,1,1,1,0,14.78,7.934428032413897,"[-0.02312733 -0.10350782 -0.05185428 -0.02307999 -0.10107146  0.01687119
  0.00572356  0.1471326  -0.14128995  0.06608519]",0.5125493,0.3144473684210526,0.0,0.0
63,1,63,1,1,1,0,14.78,7.795057008901719,"[-0.02878124 -0.02311454  0.02004986 -0.09558088 -0.11238009  0.11334318
 -0.08273631  0.08715297  0.05330125  0.03654083]",0.5125493,0.3144473684210526,0.0,0.0
64,1,64,1,1,1,0,14.78,7.678308070880921,"[ 0.03516378  0.14374389 -0.02280527 -0.18746436 -0.06523322  0.13282144
 -0.0350962  -0.04892051 -0.08242121  0.10843661]",0.5125493,0.3144473684210526,0.0,0.0
65,1,65,1,1,1,0,14.78,8.018362030266367,"[ 0.06293312 -0.16482878 -0.10429394 -0.02851952 -0.0901197   0.05133346
  0.04597084 -0.07336774  0.0586013   0.01445817]",0.5125493,0.3144473684210526,0.0,0.0
66,1,66,1,1,1,0,14.78,7.805748059126629,"[-0.02474327 -0.11738762 -0.09655386 -0.18742241 -0.06215297  0.07672618
 -0.00087047  0.06181848 -0.1687023   0.04204289]",0.5125493,0.3144473684210526,0.0,0.0
67,1,67,1,1,1,0,14.78,7.72250886918385,"[-0.10874967 -0.11156487 -0.20788175 -0.08089943  0.00199521  0.13748235
 -0.09254728  0.04740366  0.15273295  0.06931806]",0.5125493,0.3144473684210526,0.0,0.0
68,1,68,1,1,1,0,14.78,7.7698705277593705,"[-0.04468659  0.03787551  0.10944095  0.05845942 -0.01586854 -0.12011486
  0.06029045 -0.12305628  0.01467045 -0.01206427]",0.5125493,0.3144473684210526,0.0,0.0
69,1,69,1,1,1,0,14.78,7.754824402375214,"[-0.05497537  0.04292609  0.02983879 -0.10961966 -0.11939703  0.15431197
 -0.10329422 -0.03789179 -0.02066923  0.08589701]",0.5125493,0.3144473684210526,0.0,0.0
70,1,70,1,1,1,0,14.78,7.827390838622882,"[-0.17267108 -0.16101491  0.03729091 -0.08311085 -0.06224595  0.31442577
  0.01547442 -0.0252139   0.01254641  0.06768197]",0.5125493,0.3144473684210526,0.0,0.0
71,1,71,1,1,1,0,14.78,7.824181335354968,"[ 0.04198553 -0.05278026 -0.09965347 -0.12843482 -0.05626492  0.06743093
 -0.0367825  -0.14286464  0.00772044 -0.03593699]",0.5125493,0.3144473684210526,0.0,0.0
72,1,72,1,1,1,0,14.78,7.807638344100911,"[-0.10611073 -0.1286193   0.0789459  -0.10933476 -0.15676159  0.02461505
 -0.04307889  0.0997133   0.07799673 -0.02891419]",0.5125493,0.3144473684210526,0.0,0.0
73,1,73,1,1,1,0,14.78,7.500392228580613,"[-0.13514669 -0.00103311  0.11564346 -0.0655595   0.07412167  0.04061744
 -0.00065667 -0.07204935 -0.03339006 -0.04802566]",0.5125493,0.3144473684210526,0.0,0.0
74,1,74,1,1,1,0,14.78,7.875610597870283,"[-0.10506485 -0.15734872  0.10952643 -0.23826203 -0.03925832  0.00426062
 -0.13884294 -0.09314162  0.01541177  0.04236245]",0.5125493,0.3144473684210526,0.0,0.0
75,1,75,1,1,1,0,14.78,8.02392833104772,"[ 0.00312864 -0.02589427  0.11967832 -0.03655222  0.06136806  0.07332292
  0.03929403  0.00445577  0.01568254 -0.07737789]",0.5125493,0.3144473684210526,0.0,0.0
76,1,76,1,1,1,0,14.78,7.634140444340862,"[ 0.00177609 -0.07401482 -0.01863522 -0.1623036  -0.0046683   0.02335835
  0.01417856 -0.00514125  0.00409646  0.08113926]",0.5125493,0.3144473684210526,0.0,0.0
77,1,77,1,1,1,0,14.78,7.893027984330233,"[ 0.01437013 -0.03809272  0.0167887  -0.01907559 -0.11891146  0.00103672
  0.04343593  0.00018703 -0.08290201 -0.00037447]",0.5125493,0.3144473684210526,0.0,0.0
78,1,78,1,1,1,0,14.78,7.8876851502158685,"[ 0.08752456  0.06157367 -0.07459994 -0.13563052 -0.04861129  0.10807642
 -0.12036268  0.05400587 -0.11421178 -0.11663146]",0.5125493,0.3144473684210526,0.0,0.0
79,1,79,1,1,1,0,14.78,7.755800049537249,"[-0.00704181 -0.00803052 -0.09477961 -0.02181002 -0.14574866 -0.01195681
  0.04648166 -0.08741011  0.00780041  0.01137444]",0.5125493,0.3144473684210526,0.0,0.0
80,1,80,1,1,1,0,14.78,7.821155839060643,"[ 0.12265149 -0.01617397  0.0618704  -0.04982822 -0.05539484  0.04297881
 -0.01306578  0.02710104 -0.12641966 -0.00562709]",0.5125493,0.3144473684210526,0.0,0.0
81,1,81,1,1,1,0,14.78,8.123975998873801,"[-0.09640315  0.02885503  0.06631891 -0.17301098 -0.08256254  0.07140706
  0.10012946  0.05779528 -0.19041657  0.02034758]",0.5125493,0.3144473684210526,0.0,0.0
82,1,82,1,1,1,0,14.78,7.785509887549448,"[-0.0036738  -0.01078231  0.00516777 -0.12687407 -0.17961134  0.07082756
  0.01899524  0.11785594  0.15343836  0.0699877 ]",0.5125493,0.3144473684210526,0.0,0.0
83,1,83,1,1,1,0,14.78,7.633922089627197,"[ 0.02458357 -0.06506027 -0.01219743 -0.16940606 -0.09735122  0.06258592
 -0.00985719 -0.02975148 -0.03569915 -0.05282146]",0.5125493,0.3144473684210526,0.0,0.0
84,1,84,1,1,1,0,14.78,7.783507628891465,"[ 0.1152962   0.01855328  0.02173305  0.0830801  -0.15790786  0.07011525
  0.03702461 -0.17702071 -0.06011929  0.06628395]",0.5125493,0.3144473684210526,0.0,0.0
