,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1e-05,1,0,100.05,166.68593036690444,"[-0.21092924 -0.18989253 -0.10706817 -0.09301595  0.25802106 -0.19129828
  0.03722903 -0.14140692  0.18599933  0.00919325]",45730.598,0.3957894736842106,0.0,0.0
1,10,1,1,1e-05,1,0,100.05,166.2879278452054,"[-0.02741502  0.05104972 -0.00898201  0.10834686 -0.0811104   0.17498583
 -0.02819096 -0.07103063  0.01375423 -0.02693164]",45730.598,0.3957894736842106,0.0,0.0
2,10,2,1,1e-05,1,0,100.05,166.6729778715759,"[ 0.07182661 -0.05031054 -0.0431962  -0.32597673  0.05800838  0.2719414
  0.23670211 -0.07511085  0.19925775  0.02537677]",45730.598,0.3957894736842106,0.0,0.0
3,10,3,1,1e-05,1,0,100.05,166.05862289933316,"[ 0.00366398  0.03605167  0.15106599  0.03466965  0.14846408  0.02853652
 -0.21317779  0.10326029  0.02261604 -0.16122267]",45730.598,0.3957894736842106,0.0,0.0
4,10,4,1,1e-05,1,0,100.05,165.60396343942918,"[ 0.26416513 -0.21279198  0.09453747 -0.20634022  0.05808131 -0.21426803
 -0.24034904  0.13502139  0.16772562  0.13488187]",45730.598,0.3957894736842106,0.0,0.0
5,10,5,1,1e-05,1,0,100.05,166.3976811864255,"[-0.16752774 -0.03414625 -0.11400506 -0.09166995  0.19525227 -0.19184348
  0.09520606  0.14353523  0.05543379 -0.00353121]",45730.598,0.3957894736842106,0.0,0.0
6,10,6,1,1e-05,1,0,100.05,165.5571004753866,"[-0.09384929  0.02412088 -0.12744074  0.16557787  0.26102144  0.06999175
 -0.13562413 -0.23317528 -0.21809486  0.18253514]",45730.598,0.3957894736842106,0.0,0.0
7,10,7,1,1e-05,1,0,100.05,166.43376628431423,"[ 0.00906819  0.17171782 -0.08401243  0.15162154  0.13018991  0.02831589
 -0.25970948 -0.07184646  0.09489232  0.05399072]",45730.598,0.3957894736842106,0.0,0.0
8,10,8,1,1e-05,1,0,100.05,166.71938943193348,"[ 0.00904611 -0.02144443  0.22174826 -0.0224942  -0.0140014   0.04130103
 -0.2564407  -0.04684614 -0.08666891  0.26431814]",45730.598,0.3957894736842106,0.0,0.0
9,10,9,1,1e-05,1,0,100.05,166.40366917913082,"[-0.05431326  0.04176021 -0.28414553 -0.03331513 -0.11633351 -0.0492816
 -0.09059522 -0.05335281 -0.19106333  0.09050362]",45730.598,0.3957894736842106,0.0,0.0
