,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction,model_id
0,1000,0,100,0.0001,1,0,506.17,293.7329242841348,"[-0.04969353 -0.03407901 -0.29576445  0.26381037 -0.26842707 -0.10687023
  0.08433353 -0.1787799  -0.12774897 -0.15734586]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
1,1000,1,100,0.0001,1,0,506.17,260.183077897774,"[ 0.0685311   0.34529024  0.0151805  -0.1833727   0.07570852 -0.07218949
 -0.005902    0.17949326 -0.12037516 -0.01851622]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
2,1000,2,100,0.0001,1,0,506.17,143.3717404476744,"[-0.11459917 -0.03912133  0.03537697 -0.13758107 -0.0481219  -0.03057431
 -0.11894643 -0.16780846 -0.18717334 -0.03149338]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
3,1000,3,100,0.0001,1,0,506.17,421.9889339233572,"[-0.04114045  0.3313559  -0.34944156  0.03412377  0.06922586  0.24521236
  0.06614484 -0.1205752   0.0216607   0.07163925]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
4,1000,4,100,0.0001,1,0,506.17,268.26111038887694,"[-0.02775836  0.11518213 -0.27602255  0.27801818  0.21029288 -0.04249223
  0.11213125  0.00789596 -0.11269615 -0.03288665]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
5,1000,5,100,0.0001,1,0,506.17,186.78295435659368,"[ 0.13920698 -0.06154807 -0.05277387  0.00579183  0.06317607  0.19545814
 -0.0888266   0.08493507  0.05246419 -0.3223979 ]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
6,1000,6,100,0.0001,1,0,506.17,223.39404834518024,"[-5.36886901e-02 -2.90509053e-02  2.13066116e-04  5.79190813e-02
 -3.03793579e-01  3.50303156e-03 -1.01689890e-01 -2.07561314e-01
  7.77709633e-02  1.22089915e-01]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
7,1000,7,100,0.0001,1,0,506.17,302.5290126241505,"[-0.10353605  0.058943   -0.04966256  0.02326562 -0.13414577  0.2525269
 -0.4323366   0.03168707  0.10495904 -0.34562504]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
8,1000,8,100,0.0001,1,0,506.17,275.8137297048161,"[-0.00407217 -0.02371537  0.11881129  0.20280233 -0.06389496 -0.19600287
  0.23367694  0.18678874 -0.06830055  0.04014944]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
9,1000,9,100,0.0001,1,0,506.17,493.4204129281269,"[ 0.06818329  0.06428651  0.04509632  0.21340999 -0.25036883  0.14199471
  0.0650575  -0.01964056  0.18413723 -0.38694412]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
10,1000,10,100,0.0001,1,0,506.17,370.0181841250165,"[ 0.16521576  0.04057355 -0.16215816  0.07636552 -0.05154394  0.38997972
  0.29703617  0.08551101 -0.1090409  -0.10093494]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
11,1000,11,100,0.0001,1,0,506.17,322.95611468111326,"[-0.03895525 -0.08638204 -0.13050967 -0.07169901 -0.01507385 -0.07579489
 -0.11378315 -0.10306039  0.39443576 -0.2602918 ]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
12,1000,12,100,0.0001,1,0,506.17,341.377752866254,"[-0.14857829  0.06205894 -0.04155555  0.09199561  0.11871922  0.18381861
  0.11907464 -0.12029085  0.18789688 -0.28421998]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
13,1000,13,100,0.0001,1,0,506.17,233.23070202750887,"[-0.00398859 -0.08176646 -0.14639327  0.10363717 -0.01901678  0.18098721
 -0.24785766  0.12219241  0.08034058  0.00893001]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
14,1000,14,100,0.0001,1,0,506.17,323.31270198530984,"[-0.19070843 -0.08094023 -0.21064098 -0.31975085  0.4458134   0.14799447
  0.3223519  -0.03315739  0.08571285  0.11625335]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
15,1000,15,100,0.0001,1,0,506.17,233.55165034583143,"[ 0.07224613 -0.01650661  0.00520826 -0.30977565  0.07468354  0.07718037
  0.19251172 -0.03410961  0.25188106 -0.08633962]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
16,1000,16,100,0.0001,1,0,506.17,154.1041820325051,"[-0.18315014  0.13875207 -0.03728549 -0.17868152  0.01230205  0.12295014
  0.03794835  0.09253836  0.4522776   0.11462037]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
17,1000,17,100,0.0001,1,0,506.17,205.07636902206923,"[ 0.2232826  -0.2951271   0.04713929  0.11686757 -0.05251892 -0.11496219
  0.07051092 -0.04397596 -0.08349252  0.18045476]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
18,1000,18,100,0.0001,1,0,506.17,230.87556985824276,"[ 0.18587533  0.04172345 -0.07122376  0.08184812  0.12536055  0.12329698
 -0.25328675 -0.04777887  0.06828737  0.07986242]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
19,1000,19,100,0.0001,1,0,506.17,382.264569411608,"[ 0.13991785  0.11328672 -0.15752399 -0.09366679 -0.1799761   0.28818896
  0.03941381  0.07570279  0.16173217 -0.07730711]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
20,1000,20,100,0.0001,1,0,506.17,155.01829439126905,"[-0.13578966 -0.0647341  -0.02877072  0.24332367  0.12043355 -0.14137483
  0.12314507  0.117585   -0.14399806 -0.03388398]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
21,1000,21,100,0.0001,1,0,506.17,223.1939225220595,"[-0.26213387  0.03479108 -0.04418616 -0.19755518 -0.10081338  0.04449844
 -0.09661592  0.05136942  0.09433693 -0.15844008]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
22,1000,22,100,0.0001,1,0,506.17,236.4245636902568,"[-0.0385809   0.32448143  0.01065399 -0.11065901  0.01193948 -0.19147882
  0.1991096   0.0451047   0.18597504  0.09651369]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
23,1000,23,100,0.0001,1,0,506.17,395.7643844534618,"[ 0.05313801  0.12481959  0.04241737 -0.08916727 -0.1507917  -0.0627315
 -0.40103218  0.26644313 -0.21167925 -0.0071922 ]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
24,1000,24,100,0.0001,1,0,506.17,165.1454330417781,"[-0.18741593 -0.30050492 -0.01318327 -0.03684308 -0.01618516  0.08608372
 -0.09746287  0.07166101  0.080229   -0.0726916 ]",0.10073414,0.4295000000000001,0.99576885,0.9967646139264106,0
