,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction,model_id
0,1,0,1,1,1,0,21.07,3.564503376719838,"[ 0.12919179  0.07611139  0.0262749   0.1334283   0.11128852 -0.01927636
  0.08350061 -0.11582308 -0.02473298  0.02415565]",0.23533921,0.1395526315789473,0.0,0.0,0
1,1,1,1,1,1,0,21.07,3.613945516594306,"[-0.04287414  0.18864325  0.03328675  0.09695067 -0.02700734 -0.0184691
  0.0896927  -0.09598041  0.02262343 -0.05467454]",0.23533921,0.1395526315789473,0.0,0.0,0
2,1,2,1,1,1,0,21.07,3.276053134160249,"[-0.10342185  0.07393177  0.02717631 -0.09860766  0.22227122 -0.15471353
 -0.06589845 -0.07748467  0.14776275  0.08119145]",0.23533921,0.1395526315789473,0.0,0.0,0
3,1,3,1,1,1,0,21.07,3.8402954666948337,"[-0.02715045  0.02831098 -0.06900696 -0.14907083  0.00193349  0.08773301
  0.10451181  0.11260316 -0.00299129 -0.13110232]",0.23533921,0.1395526315789473,0.0,0.0,0
4,1,4,1,1,1,0,21.07,3.401277226386024,"[ 0.01517905 -0.1019069  -0.07389982  0.19405922  0.05978937  0.02560563
 -0.02999909  0.00812765 -0.06695232 -0.08706239]",0.23533921,0.1395526315789473,0.0,0.0,0
5,1,5,1,1,1,0,21.07,3.765183544307005,"[-0.08036242 -0.03663308 -0.05111773 -0.00687619  0.18557821  0.0127992
 -0.08468059  0.09985171 -0.05387131 -0.0614261 ]",0.23533921,0.1395526315789473,0.0,0.0,0
6,1,6,1,1,1,0,21.07,3.291832135870902,"[-0.01788829 -0.08716363 -0.03914604 -0.13433073  0.01702003 -0.00116668
 -0.09487148  0.02438428 -0.02708061  0.02205857]",0.23533921,0.1395526315789473,0.0,0.0,0
7,1,7,1,1,1,0,21.07,3.6626538953851018,"[-0.01335417 -0.0763417   0.07984169 -0.15913537  0.02689676  0.01450234
 -0.01168921 -0.10593975 -0.05088988 -0.00801512]",0.23533921,0.1395526315789473,0.0,0.0,0
8,1,8,1,1,1,0,21.07,3.417579679144495,"[-0.09715444  0.02186342  0.06992199 -0.14700267  0.04234007  0.07371873
  0.00667764 -0.06700063 -0.01977639  0.0684866 ]",0.23533921,0.1395526315789473,0.0,0.0,0
9,1,9,1,1,1,0,21.07,3.5178005687906104,"[-0.08279689  0.0688524  -0.09307343  0.01780694  0.10963136  0.02294865
  0.02921697  0.08276168  0.01254817  0.04168137]",0.23533921,0.1395526315789473,0.0,0.0,0
