,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction,model_id
0,1000,0,100,1,1,0,3645.67,252.97740222711985,"[ 0.07147364 -0.10542791  0.12788275  0.11431203  0.11366149 -0.10561476
  0.10426475  0.06982976 -0.01453323 -0.02107532]",0.11531095,0.317,0.97699344,0.9779704350233076,0
1,1000,1,100,1,1,0,3645.67,805.4531045017412,"[ 0.00750238  0.01018646  0.14749563  0.03504612 -0.02842221  0.02075011
  0.24777684  0.0422213  -0.03120593 -0.11799379]",0.11531095,0.317,0.97699344,0.9779704350233076,0
2,1000,2,100,1,1,0,3645.67,257.8684556065223,"[-0.22101954  0.10379412  0.09804517 -0.15623437  0.24170737 -0.16049209
  0.01567088 -0.03207968  0.17235443  0.10747677]",0.11531095,0.317,0.97699344,0.9779704350233076,0
3,1000,3,100,1,1,0,3645.67,187.82001989088585,"[ 0.04526966  0.03426153 -0.09087636 -0.19509187 -0.0745192   0.0967973
  0.1428407   0.11080434 -0.02594503  0.03026665]",0.11531095,0.317,0.97699344,0.9779704350233076,0
4,1000,4,100,1,1,0,3645.67,244.10856686897816,"[-0.11292274 -0.07333147 -0.14636904  0.125485   -0.05253249 -0.11417308
 -0.08006712  0.12482533 -0.08485522  0.07511549]",0.11531095,0.317,0.97699344,0.9779704350233076,0
5,1000,5,100,1,1,0,3645.67,102.84251821338351,"[-0.02457161  0.03718698 -0.07179719 -0.11560201 -0.01253861  0.12423706
  0.10207676  0.02637086 -0.06204484  0.09945394]",0.11531095,0.317,0.97699344,0.9779704350233076,0
6,1000,6,100,1,1,0,3645.67,198.47151926893204,"[-0.0670522   0.06161411 -0.03622524 -0.22691736  0.03852415 -0.07598075
 -0.15225312  0.11718485 -0.02352085  0.06392884]",0.11531095,0.317,0.97699344,0.9779704350233076,0
7,1000,7,100,1,1,0,3645.67,319.1448345882542,"[ 0.11560929  0.06694722  0.11271342 -0.15405086  0.05767083 -0.08173726
 -0.03575459 -0.06256163 -0.02564001  0.11753997]",0.11531095,0.317,0.97699344,0.9779704350233076,0
8,1000,8,100,1,1,0,3645.67,507.7140595451622,"[-0.12606002  0.07881367  0.04519419 -0.16958883  0.15897349  0.24593407
  0.05794668 -0.03401658 -0.22267097  0.23241325]",0.11531095,0.317,0.97699344,0.9779704350233076,0
9,1000,9,100,1,1,0,3645.67,107.864940416742,"[-0.02137811  0.18542975  0.04621728  0.09513289 -0.02693399  0.12909135
 -0.06573805  0.16819128  0.03502573  0.1636683 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
